GarageArea,SalePrice
832,755000.0
813,745000.0
807,625000.0
820,611657.0
1020,582933.0
716,556581.0
672,555000.0
841,538000.0
1166,501837.0
820,485000.0
840,475000.0
804,466500.0
850,465000.0
842,451950.0
858,446261.0
908,440000.0
641,438780.0
706,437154.0
546,430000.0
846,426000.0
1052,424870.0
1134,423000.0
732,415298.0
726,412500.0
666,410000.0
810,403000.0
900,402861.0
711,402000.0
606,395192.0
895,395000.0
774,394617.0
834,394432.0
482,392500.0
567,392000.0
968,386250.0
894,385000.0
1220,385000.0
792,383970.0
1014,381000.0
694,380000.0
746,378500.0
758,377500.0
676,377426.0
513,375000.0
874,374000.0
834,372500.0
866,372402.0
478,370878.0
880,369900.0
1052,367294.0
666,361919.0
708,360000.0
380,359100.0
872,354000.0
839,350000.0
738,350000.0
870,348000.0
736,345000.0
538,345000.0
840,342643.0
983,341000.0
610,340000.0
1069,340000.0
836,339750.0
786,337500.0
856,337000.0
676,336000.0
628,335000.0
836,335000.0
567,335000.0
779,333168.0
506,328900.0
533,328000.0
772,326000.0
789,325624.0
853,325300.0
656,325000.0
880,325000.0
712,325000.0
840,325000.0
473,324000.0
594,320000.0
576,320000.0
768,320000.0
788,320000.0
576,319900.0
758,319000.0
617,318061.0
818,318000.0
928,318000.0
852,317000.0
612,316600.0
834,315750.0
912,315500.0
440,315000.0
696,315000.0
765,315000.0
770,315000.0
774,314813.0
736,313000.0
765,312500.0
786,311872.0
431,311500.0
796,310000.0
812,310000.0
691,309000.0
636,307000.0
772,306000.0
888,305900.0
749,305000.0
550,303477.0
739,302000.0
750,302000.0
691,301500.0
576,301000.0
831,299800.0
826,297000.0
860,295493.0
870,295000.0
518,294000.0
800,293077.0
721,290000.0
671,290000.0
752,290000.0
500,290000.0
844,290000.0
484,289000.0
840,287090.0
665,287000.0
905,287000.0
682,286000.0
702,285000.0
656,285000.0
541,285000.0
880,284000.0
871,284000.0
712,283463.0
754,282922.0
642,281213.0
753,281000.0
592,280000.0
947,280000.0
576,280000.0
862,280000.0
840,279500.0
542,278000.0
499,278000.0
556,277500.0
454,277000.0
389,277000.0
868,276000.0
878,275500.0
569,275000.0
736,275000.0
564,275000.0
748,275000.0
482,275000.0
432,274970.0
856,274900.0
422,274725.0
583,274300.0
588,274000.0
670,272000.0
619,272000.0
701,271900.0
857,271000.0
525,271000.0
1025,270000.0
481,270000.0
808,270000.0
455,269790.0
680,269500.0
590,268000.0
621,268000.0
683,267000.0
252,266500.0
1053,266000.0
564,266000.0
864,265979.0
472,265900.0
889,265000.0
648,264561.0
592,264132.0
552,263435.0
615,263000.0
750,262500.0
508,262500.0
514,262280.0
757,262000.0
531,261500.0
527,260400.0
462,260000.0
660,260000.0
484,260000.0
656,260000.0
586,260000.0
430,260000.0
180,259500.0
630,259000.0
420,258000.0
416,257500.0
620,257000.0
890,256300.0
529,256000.0
520,256000.0
779,255900.0
908,255500.0
865,255000.0
586,255000.0
678,254900.0
550,254000.0
1390,253293.0
689,253000.0
644,252678.0
1043,252000.0
499,251000.0
529,250580.0
836,250000.0
648,250000.0
866,250000.0
619,250000.0
180,250000.0
693,250000.0
936,250000.0
564,250000.0
826,249700.0
870,248900.0
954,248328.0
648,248000.0
467,248000.0
648,246578.0
500,245500.0
776,245350.0
758,245000.0
898,244600.0
349,244400.0
516,244000.0
390,244000.0
522,244000.0
576,243000.0
564,242000.0
505,242000.0
604,241500.0
439,241500.0
438,241000.0
501,240000.0
624,240000.0
360,240000.0
690,240000.0
550,240000.0
556,240000.0
800,239900.0
868,239799.0
670,239686.0
466,239500.0
504,239000.0
576,239000.0
864,239000.0
702,239000.0
360,239000.0
722,239000.0
833,238000.0
550,237500.0
613,237000.0
577,237000.0
608,236500.0
522,236500.0
554,236000.0
574,236000.0
830,235128.0
564,235000.0
795,235000.0
538,235000.0
539,235000.0
540,235000.0
839,235000.0
541,235000.0
282,234000.0
420,234000.0
685,233230.0
644,233170.0
618,233000.0
776,232600.0
824,232000.0
834,232000.0
502,232000.0
470,231500.0
564,231500.0
504,230500.0
534,230000.0
660,230000.0
429,230000.0
900,230000.0
470,230000.0
626,230000.0
400,230000.0
622,230000.0
552,229456.0
786,229000.0
529,228950.0
575,228500.0
647,228500.0
511,228000.0
678,228000.0
578,227875.0
554,227680.0
528,227000.0
544,227000.0
825,227000.0
603,226700.0
558,226000.0
487,226000.0
650,226000.0
667,225000.0
746,225000.0
230,225000.0
474,225000.0
433,225000.0
490,225000.0
598,224900.0
543,224900.0
650,224500.0
484,224000.0
924,224000.0
608,223500.0
528,223500.0
540,223000.0
434,222500.0
541,222500.0
484,222000.0
540,222000.0
642,222000.0
865,221500.0
530,221000.0
486,221000.0
471,220000.0
532,220000.0
660,220000.0
506,220000.0
432,220000.0
645,219500.0
434,219500.0
240,219500.0
660,219210.0
528,218000.0
621,217500.0
450,217000.0
576,217000.0
484,216837.0
440,216500.0
663,216000.0
614,215200.0
528,215000.0
560,215000.0
529,215000.0
471,215000.0
400,215000.0
434,215000.0
514,215000.0
542,215000.0
510,214900.0
441,214500.0
472,214000.0
532,214000.0
532,214000.0
390,214000.0
668,214000.0
639,213500.0
582,213500.0
440,213490.0
583,213250.0
606,213000.0
425,213000.0
451,213000.0
782,212900.0
550,212000.0
528,212000.0
578,212000.0
521,211000.0
546,211000.0
484,210000.0
493,210000.0
676,210000.0
440,210000.0
500,210000.0
627,209500.0
508,208900.0
466,208900.0
548,208500.0
676,208300.0
319,207500.0
673,207500.0
626,207500.0
577,207500.0
612,207500.0
484,207000.0
370,207000.0
576,206900.0
784,206300.0
632,206000.0
562,205950.0
480,205000.0
463,205000.0
672,205000.0
843,205000.0
486,205000.0
483,205000.0
675,204900.0
684,204750.0
577,204000.0
422,204000.0
478,203000.0
508,203000.0
431,202900.0
474,202665.0
484,202500.0
440,202500.0
474,202500.0
492,201800.0
573,201000.0
471,201000.0
610,201000.0
484,200624.0
523,200500.0
0,200500.0
440,200141.0
216,200100.0
484,200000.0
484,200000.0
390,200000.0
0,200000.0
603,200000.0
544,200000.0
492,200000.0
968,200000.0
431,199900.0
569,199900.0
740,198900.0
672,198500.0
550,197900.0
546,197900.0
480,197900.0
676,197500.0
484,197500.0
614,197000.0
672,197000.0
550,197000.0
550,197000.0
565,196500.0
496,196500.0
530,196000.0
624,196000.0
714,196000.0
628,195400.0
551,195000.0
493,195000.0
434,195000.0
460,194700.0
457,194500.0
632,194500.0
409,194500.0
648,194201.0
632,194000.0
826,194000.0
588,194000.0
662,193879.0
509,193500.0
575,193500.0
533,193000.0
588,193000.0
398,193000.0
430,192500.0
474,192500.0
372,192140.0
666,192000.0
505,192000.0
472,192000.0
430,192000.0
527,192000.0
577,191000.0
512,191000.0
437,191000.0
672,191000.0
546,190000.0
495,190000.0
303,190000.0
445,190000.0
566,190000.0
578,190000.0
534,190000.0
572,190000.0
570,190000.0
600,190000.0
400,190000.0
390,190000.0
564,190000.0
216,189950.0
472,189000.0
410,189000.0
527,189000.0
442,189000.0
462,189000.0
621,189000.0
240,188700.0
432,188500.0
560,188000.0
527,188000.0
431,188000.0
572,187750.0
588,187500.0
438,187500.0
444,187500.0
400,187500.0
565,187500.0
409,187500.0
605,187100.0
506,187000.0
512,187000.0
440,187000.0
995,186700.0
615,186500.0
451,186500.0
460,186000.0
520,185900.0
484,185850.0
462,185750.0
494,185500.0
427,185000.0
420,185000.0
413,185000.0
572,185000.0
396,185000.0
538,185000.0
531,185000.0
615,185000.0
540,185000.0
400,185000.0
555,184900.0
884,184750.0
527,184100.0
616,184000.0
484,184000.0
240,184000.0
388,184000.0
506,183900.0
440,183500.0
393,183200.0
595,183000.0
467,182900.0
480,182000.0
572,181900.0
460,181500.0
396,181134.0
435,181000.0
470,181000.0
484,181000.0
457,181000.0
463,181000.0
502,181000.0
511,181000.0
576,180500.0
500,180500.0
520,180500.0
484,180500.0
576,180000.0
400,180000.0
540,180000.0
440,180000.0
500,180000.0
462,180000.0
393,180000.0
478,180000.0
403,180000.0
484,180000.0
484,179900.0
434,179900.0
719,179900.0
502,179900.0
776,179900.0
426,179665.0
626,179600.0
400,179540.0
240,179500.0
440,179400.0
529,179200.0
496,179200.0
463,179000.0
0,179000.0
539,179000.0
393,178900.0
398,178740.0
588,178400.0
476,178000.0
546,178000.0
403,178000.0
389,178000.0
380,178000.0
573,178000.0
477,178000.0
521,177500.0
213,177500.0
440,177500.0
388,177000.0
440,177000.0
308,177000.0
312,177000.0
342,177000.0
601,176500.0
462,176500.0
436,176485.0
440,176432.0
440,176000.0
884,176000.0
453,176000.0
551,176000.0
402,176000.0
486,176000.0
451,176000.0
400,176000.0
484,175900.0
660,175900.0
576,175500.0
528,175500.0
474,175500.0
539,175000.0
576,175000.0
487,175000.0
600,175000.0
406,175000.0
480,175000.0
240,175000.0
540,175000.0
460,175000.0
490,174900.0
234,174500.0
400,174000.0
530,174000.0
343,174000.0
390,174000.0
660,174000.0
492,174000.0
462,174000.0
564,173900.0
528,173733.0
540,173500.0
