2ndFlrSF,SalePrice
1872,755000.0
2065,745000.0
1796,625000.0
0,611657.0
1088,582933.0
876,556581.0
0,555000.0
1589,538000.0
0,501837.0
1174,485000.0
1518,475000.0
0,466500.0
0,465000.0
568,451950.0
1237,446261.0
0,440000.0
1519,438780.0
880,437154.0
0,430000.0
590,426000.0
1362,424870.0
0,423000.0
0,415298.0
1096,412500.0
1185,410000.0
1304,403000.0
0,402861.0
762,402000.0
0,395192.0
0,395000.0
0,394617.0
0,394432.0
0,392500.0
0,392000.0
0,386250.0
0,385000.0
0,385000.0
1414,383970.0
1479,381000.0
574,380000.0
0,378500.0
0,377500.0
0,377426.0
0,375000.0
0,374000.0
0,372500.0
0,372402.0
0,370878.0
0,369900.0
0,367294.0
1312,361919.0
0,360000.0
1254,359100.0
1332,354000.0
0,350000.0
762,350000.0
985,348000.0
1142,345000.0
704,345000.0
1347,342643.0
1093,341000.0
886,340000.0
1140,340000.0
1028,339750.0
0,337500.0
1097,337000.0
1336,336000.0
1281,335000.0
1054,335000.0
0,335000.0
1177,333168.0
0,328900.0
954,328000.0
0,326000.0
551,325624.0
1218,325300.0
1370,325000.0
1254,325000.0
1122,325000.0
0,325000.0
0,324000.0
1523,320000.0
1070,320000.0
0,320000.0
0,320000.0
0,319900.0
0,319000.0
0,318061.0
0,318000.0
0,318000.0
1330,317000.0
636,316600.0
1015,315750.0
0,315500.0
1178,315000.0
1160,315000.0
0,315000.0
0,315000.0
0,314813.0
677,313000.0
0,312500.0
0,311872.0
817,311500.0
1168,310000.0
981,310000.0
1320,309000.0
0,307000.0
0,306000.0
0,305900.0
780,305000.0
1426,303477.0
0,302000.0
1357,302000.0
0,301500.0
1177,301000.0
1540,299800.0
0,297000.0
0,295493.0
1818,295000.0
651,294000.0
0,293077.0
1306,290000.0
1106,290000.0
1203,290000.0
0,290000.0
1323,290000.0
0,289000.0
0,287090.0
0,287000.0
1208,287000.0
0,286000.0
0,285000.0
1140,285000.0
743,285000.0
0,284000.0
1040,284000.0
0,283463.0
0,282922.0
1349,281213.0
850,281000.0
838,280000.0
1101,280000.0
0,280000.0
0,280000.0
0,279500.0
0,278000.0
0,278000.0
0,277500.0
882,277000.0
700,277000.0
1092,276000.0
1060,275500.0
0,275000.0
846,275000.0
0,275000.0
0,275000.0
0,275000.0
626,274970.0
0,274900.0
1134,274725.0
989,274300.0
0,274000.0
0,272000.0
1330,272000.0
0,271900.0
0,271000.0
904,271000.0
871,270000.0
0,270000.0
0,270000.0
886,269790.0
1194,269500.0
1129,268000.0
0,268000.0
1242,267000.0
1152,266500.0
844,266000.0
0,266000.0
1320,265979.0
0,265900.0
1067,265000.0
0,264561.0
0,264132.0
1103,263435.0
1182,263000.0
0,262500.0
0,262500.0
797,262280.0
0,262000.0
573,261500.0
0,260400.0
1116,260000.0
0,260000.0
1200,260000.0
1274,260000.0
192,260000.0
0,260000.0
884,259500.0
0,259000.0
1098,258000.0
0,257500.0
0,257000.0
0,256300.0
0,256000.0
1208,256000.0
1141,255900.0
0,255500.0
0,255000.0
898,255000.0
956,254900.0
0,254000.0
0,253293.0
858,253000.0
920,252678.0
871,252000.0
0,251000.0
0,250580.0
1053,250000.0
939,250000.0
0,250000.0
1142,250000.0
1037,250000.0
1216,250000.0
932,250000.0
1392,250000.0
0,249700.0
0,248900.0
0,248328.0
1288,248000.0
871,248000.0
0,246578.0
0,245500.0
0,245350.0
0,245000.0
0,244600.0
1196,244400.0
0,244000.0
1032,244000.0
0,244000.0
0,243000.0
1080,242000.0
0,242000.0
0,241500.0
0,241500.0
438,241000.0
874,240000.0
1066,240000.0
1051,240000.0
0,240000.0
0,240000.0
870,240000.0
900,239900.0
571,239799.0
631,239686.0
878,239500.0
703,239000.0
975,239000.0
1254,239000.0
0,239000.0
1175,239000.0
0,239000.0
1215,238000.0
0,237500.0
888,237000.0
903,237000.0
0,236500.0
0,236500.0
1276,236000.0
887,236000.0
0,235128.0
0,235000.0
1360,235000.0
0,235000.0
795,235000.0
872,235000.0
873,235000.0
0,235000.0
804,234000.0
0,234000.0
840,233230.0
0,233170.0
1128,233000.0
0,232600.0
0,232000.0
0,232000.0
0,232000.0
836,231500.0
829,231500.0
482,230500.0
0,230000.0
848,230000.0
1286,230000.0
0,230000.0
0,230000.0
0,230000.0
725,230000.0
896,230000.0
0,229456.0
806,229000.0
167,228950.0
807,228500.0
885,228500.0
0,228000.0
1017,228000.0
887,227875.0
0,227680.0
855,227000.0
0,227000.0
0,227000.0
902,226700.0
0,226000.0
941,226000.0
872,226000.0
983,225000.0
1121,225000.0
896,225000.0
0,225000.0
886,225000.0
978,225000.0
0,224900.0
884,224900.0
846,224500.0
0,224000.0
0,224000.0
866,223500.0
504,223500.0
0,223000.0
1151,222500.0
878,222500.0
0,222000.0
0,222000.0
1243,222000.0
0,221500.0
0,221000.0
644,221000.0
0,220000.0
0,220000.0
0,220000.0
988,220000.0
895,220000.0
977,219500.0
1081,219500.0
780,219500.0
984,219210.0
0,218000.0
0,217500.0
0,217000.0
0,217000.0
0,216837.0
1100,216500.0
860,216000.0
783,215200.0
0,215000.0
1157,215000.0
