BsmtFinType1,SalePrice
GLQ,755000.0
GLQ,745000.0
GLQ,625000.0
GLQ,611657.0
Unf,582933.0
GLQ,556581.0
GLQ,555000.0
ALQ,538000.0
GLQ,501837.0
Unf,485000.0
Unf,475000.0
GLQ,466500.0
GLQ,465000.0
GLQ,451950.0
GLQ,446261.0
GLQ,440000.0
Unf,438780.0
GLQ,437154.0
GLQ,430000.0
GLQ,426000.0
GLQ,424870.0
GLQ,423000.0
Unf,415298.0
GLQ,412500.0
GLQ,410000.0
GLQ,403000.0
GLQ,402861.0
GLQ,402000.0
GLQ,395192.0
Unf,395000.0
GLQ,394617.0
GLQ,394432.0
GLQ,392500.0
GLQ,392000.0
GLQ,386250.0
GLQ,385000.0
GLQ,385000.0
GLQ,383970.0
Rec,381000.0
Unf,380000.0
Unf,378500.0
GLQ,377500.0
GLQ,377426.0
ALQ,375000.0
GLQ,374000.0
Unf,372500.0
GLQ,372402.0
GLQ,370878.0
GLQ,369900.0
GLQ,367294.0
Unf,361919.0
GLQ,360000.0
BLQ,359100.0
GLQ,354000.0
GLQ,350000.0
GLQ,350000.0
GLQ,348000.0
GLQ,345000.0
GLQ,345000.0
Unf,342643.0
GLQ,341000.0
Unf,340000.0
GLQ,340000.0
GLQ,339750.0
GLQ,337500.0
GLQ,337000.0
GLQ,336000.0
GLQ,335000.0
GLQ,335000.0
GLQ,335000.0
Unf,333168.0
GLQ,328900.0
GLQ,328000.0
GLQ,326000.0
GLQ,325624.0
Unf,325300.0
Unf,325000.0
Unf,325000.0
GLQ,325000.0
GLQ,325000.0
GLQ,324000.0
GLQ,320000.0
GLQ,320000.0
GLQ,320000.0
Unf,320000.0
GLQ,319900.0
GLQ,319000.0
Unf,318061.0
Unf,318000.0
GLQ,318000.0
Unf,317000.0
GLQ,316600.0
GLQ,315750.0
GLQ,315500.0
Rec,315000.0
GLQ,315000.0
GLQ,315000.0
GLQ,315000.0
GLQ,314813.0
GLQ,313000.0
GLQ,312500.0
GLQ,311872.0
BLQ,311500.0
GLQ,310000.0
GLQ,310000.0
Unf,309000.0
GLQ,307000.0
GLQ,306000.0
GLQ,305900.0
GLQ,305000.0
GLQ,303477.0
GLQ,302000.0
GLQ,302000.0
GLQ,301500.0
LwQ,301000.0
GLQ,299800.0
GLQ,297000.0
Unf,295493.0
Unf,295000.0
LwQ,294000.0
GLQ,293077.0
GLQ,290000.0
GLQ,290000.0
LwQ,290000.0
GLQ,290000.0
GLQ,290000.0
ALQ,289000.0
Unf,287090.0
ALQ,287000.0
Unf,287000.0
GLQ,286000.0
GLQ,285000.0
Unf,285000.0
GLQ,285000.0
GLQ,284000.0
GLQ,284000.0
GLQ,283463.0
GLQ,282922.0
Unf,281213.0
Unf,281000.0
GLQ,280000.0
Unf,280000.0
ALQ,280000.0
GLQ,280000.0
Unf,279500.0
ALQ,278000.0
GLQ,278000.0
GLQ,277500.0
GLQ,277000.0
Rec,277000.0
Unf,276000.0
Unf,275500.0
GLQ,275000.0
GLQ,275000.0
GLQ,275000.0
Unf,275000.0
GLQ,275000.0
Unf,274970.0
GLQ,274900.0
Unf,274725.0
GLQ,274300.0
GLQ,274000.0
GLQ,272000.0
ALQ,272000.0
ALQ,271900.0
GLQ,271000.0
GLQ,271000.0
Unf,270000.0
LwQ,270000.0
GLQ,270000.0
GLQ,269790.0
Unf,269500.0
GLQ,268000.0
ALQ,268000.0
GLQ,267000.0
GLQ,266500.0
Unf,266000.0
GLQ,266000.0
Unf,265979.0
GLQ,265900.0
Unf,265000.0
GLQ,264561.0
Unf,264132.0
GLQ,263435.0
Unf,263000.0
GLQ,262500.0
BLQ,262500.0
GLQ,262280.0
GLQ,262000.0
GLQ,261500.0
GLQ,260400.0
Unf,260000.0
GLQ,260000.0
GLQ,260000.0
GLQ,260000.0
GLQ,260000.0
ALQ,260000.0
ALQ,259500.0
GLQ,259000.0
Unf,258000.0
GLQ,257500.0
GLQ,257000.0
Unf,256300.0
BLQ,256000.0
LwQ,256000.0
Unf,255900.0
Unf,255500.0
GLQ,255000.0
GLQ,255000.0
GLQ,254900.0
GLQ,254000.0
Unf,253293.0
GLQ,253000.0
GLQ,252678.0
Unf,252000.0
GLQ,251000.0
Unf,250580.0
GLQ,250000.0
Unf,250000.0
Unf,250000.0
BLQ,250000.0
Rec,250000.0
LwQ,250000.0
Unf,250000.0
BLQ,250000.0
GLQ,249700.0
Unf,248900.0
Unf,248328.0
Unf,248000.0
GLQ,248000.0
GLQ,246578.0
GLQ,245500.0
Unf,245350.0
GLQ,245000.0
Unf,244600.0
Unf,244400.0
ALQ,244000.0
GLQ,244000.0
ALQ,244000.0
ALQ,243000.0
Unf,242000.0
GLQ,242000.0
GLQ,241500.0
LwQ,241500.0
GLQ,241000.0
GLQ,240000.0
ALQ,240000.0
Unf,240000.0
Unf,240000.0
Unf,240000.0
GLQ,240000.0
Unf,239900.0
GLQ,239799.0
GLQ,239686.0
GLQ,239500.0
GLQ,239000.0
BLQ,239000.0
BLQ,239000.0
Unf,239000.0
Rec,239000.0
Unf,239000.0
BLQ,238000.0
BLQ,237500.0
GLQ,237000.0
GLQ,237000.0
GLQ,236500.0
Unf,236500.0
GLQ,236000.0
GLQ,236000.0
Unf,235128.0
BLQ,235000.0
GLQ,235000.0
GLQ,235000.0
ALQ,235000.0
Rec,235000.0
GLQ,235000.0
GLQ,235000.0
Unf,234000.0
Unf,234000.0
Unf,233230.0
Unf,233170.0
GLQ,233000.0
Unf,232600.0
GLQ,232000.0
Unf,232000.0
BLQ,232000.0
GLQ,231500.0
GLQ,231500.0
Unf,230500.0
Unf,230000.0
GLQ,230000.0
Unf,230000.0
GLQ,230000.0
ALQ,230000.0
GLQ,230000.0
Unf,230000.0
GLQ,230000.0
GLQ,229456.0
GLQ,229000.0
ALQ,228950.0
GLQ,228500.0
Unf,228500.0
Unf,228000.0
BLQ,228000.0
Unf,227875.0
Unf,227680.0
GLQ,227000.0
GLQ,227000.0
Unf,227000.0
GLQ,226700.0
GLQ,226000.0
Rec,226000.0
GLQ,226000.0
BLQ,225000.0
ALQ,225000.0
GLQ,225000.0
Unf,225000.0
Unf,225000.0
GLQ,225000.0
Unf,224900.0
GLQ,224900.0
Unf,224500.0
GLQ,224000.0
BLQ,224000.0
GLQ,223500.0
GLQ,223500.0
Rec,223000.0
Unf,222500.0
ALQ,222500.0
GLQ,222000.0
GLQ,222000.0
Unf,222000.0
GLQ,221500.0
GLQ,221000.0
Unf,221000.0
GLQ,220000.0
BLQ,220000.0
GLQ,220000.0
GLQ,220000.0
Rec,220000.0
GLQ,219500.0
Unf,219500.0
BLQ,219500.0
Unf,219210.0
ALQ,218000.0
ALQ,217500.0
ALQ,217000.0
GLQ,217000.0
GLQ,216837.0
GLQ,216500.0
GLQ,216000.0
GLQ,215200.0
BLQ,215000.0
ALQ,215000.0
ALQ,215000.0
GLQ,215000.0
Unf,215000.0
Unf,215000.0
GLQ,215000.0
Unf,215000.0
GLQ,214900.0
Unf,214500.0
ALQ,214000.0
GLQ,214000.0
GLQ,214000.0
ALQ,214000.0
Unf,214000.0
Unf,213500.0
GLQ,213500.0
GLQ,213490.0
LwQ,213250.0
GLQ,213000.0
ALQ,213000.0
Unf,213000.0
GLQ,212900.0
GLQ,212000.0
GLQ,212000.0
GLQ,212000.0
GLQ,211000.0
GLQ,211000.0
GLQ,210000.0
GLQ,210000.0
Unf,210000.0
Rec,210000.0
ALQ,210000.0
GLQ,209500.0
GLQ,208900.0
Unf,208900.0
GLQ,208500.0
GLQ,208300.0
BLQ,207500.0
Rec,207500.0
GLQ,207500.0
GLQ,207500.0
BLQ,207500.0
GLQ,207000.0
Unf,207000.0
ALQ,206900.0
GLQ,206300.0
GLQ,206000.0
Unf,205950.0
ALQ,205000.0
GLQ,205000.0
Unf,205000.0
Unf,205000.0
BLQ,205000.0
ALQ,205000.0
Unf,204900.0
GLQ,204750.0
GLQ,204000.0
ALQ,204000.0
GLQ,203000.0
GLQ,203000.0
Unf,202900.0
Unf,202665.0
GLQ,202500.0
ALQ,202500.0
Unf,202500.0
ALQ,201800.0
Unf,201000.0
GLQ,201000.0
GLQ,201000.0
Rec,200624.0
GLQ,200500.0
Rec,200500.0
Unf,200141.0
LwQ,200100.0
ALQ,200000.0
Unf,200000.0
Unf,200000.0
LwQ,200000.0
GLQ,200000.0
GLQ,200000.0
GLQ,200000.0
LwQ,200000.0
Unf,199900.0
GLQ,199900.0
Unf,198900.0
NA,198500.0
Unf,197900.0
Unf,197900.0
ALQ,197900.0
ALQ,197500.0
ALQ,197500.0
Unf,197000.0
GLQ,197000.0
GLQ,197000.0
GLQ,197000.0
Unf,196500.0
GLQ,196500.0
GLQ,196000.0
ALQ,196000.0
ALQ,196000.0
GLQ,195400.0
LwQ,195000.0
Unf,195000.0
Unf,195000.0
ALQ,194700.0
BLQ,194500.0
GLQ,194500.0
Unf,194500.0
Unf,194201.0
GLQ,194000.0
Unf,194000.0
ALQ,194000.0
Unf,193879.0
Rec,193500.0
GLQ,193500.0
LwQ,193000.0
GLQ,193000.0
GLQ,193000.0
GLQ,192500.0
Unf,192500.0
Unf,192140.0
GLQ,192000.0
BLQ,192000.0
GLQ,192000.0
GLQ,192000.0
Unf,192000.0
Unf,191000.0
Unf,191000.0
GLQ,191000.0
Unf,191000.0
BLQ,190000.0
Rec,190000.0
LwQ,190000.0
GLQ,190000.0
GLQ,190000.0
ALQ,190000.0
Unf,190000.0
Unf,190000.0
GLQ,190000.0
GLQ,190000.0
GLQ,190000.0
Rec,190000.0
GLQ,190000.0
Unf,189950.0
GLQ,189000.0
GLQ,189000.0
GLQ,189000.0
Unf,189000.0
Unf,189000.0
