GarageCond,SalePrice
TA,755000.0
TA,745000.0
TA,625000.0
TA,611657.0
TA,582933.0
TA,556581.0
TA,555000.0
TA,538000.0
TA,501837.0
TA,485000.0
TA,475000.0
TA,466500.0
TA,465000.0
TA,451950.0
TA,446261.0
TA,440000.0
TA,438780.0
TA,437154.0
TA,430000.0
TA,426000.0
TA,424870.0
TA,423000.0
TA,415298.0
TA,412500.0
TA,410000.0
TA,403000.0
TA,402861.0
TA,402000.0
TA,395192.0
TA,395000.0
TA,394617.0
TA,394432.0
TA,392500.0
TA,392000.0
TA,386250.0
TA,385000.0
TA,385000.0
TA,383970.0
TA,381000.0
TA,380000.0
TA,378500.0
TA,377500.0
TA,377426.0
TA,375000.0
TA,374000.0
TA,372500.0
TA,372402.0
TA,370878.0
TA,369900.0
TA,367294.0
TA,361919.0
TA,360000.0
TA,359100.0
TA,354000.0
TA,350000.0
TA,350000.0
TA,348000.0
TA,345000.0
TA,345000.0
TA,342643.0
TA,341000.0
TA,340000.0
TA,340000.0
TA,339750.0
TA,337500.0
TA,337000.0
TA,336000.0
TA,335000.0
TA,335000.0
TA,335000.0
TA,333168.0
TA,328900.0
TA,328000.0
TA,326000.0
TA,325624.0
TA,325300.0
TA,325000.0
TA,325000.0
TA,325000.0
TA,325000.0
TA,324000.0
TA,320000.0
TA,320000.0
TA,320000.0
TA,320000.0
TA,319900.0
TA,319000.0
TA,318061.0
TA,318000.0
TA,318000.0
TA,317000.0
TA,316600.0
TA,315750.0
TA,315500.0
TA,315000.0
TA,315000.0
TA,315000.0
TA,315000.0
TA,314813.0
TA,313000.0
TA,312500.0
TA,311872.0
TA,311500.0
TA,310000.0
TA,310000.0
TA,309000.0
TA,307000.0
TA,306000.0
TA,305900.0
TA,305000.0
TA,303477.0
TA,302000.0
Gd,302000.0
TA,301500.0
TA,301000.0
TA,299800.0
TA,297000.0
TA,295493.0
TA,295000.0
TA,294000.0
TA,293077.0
TA,290000.0
TA,290000.0
TA,290000.0
TA,290000.0
TA,290000.0
TA,289000.0
TA,287090.0
TA,287000.0
TA,287000.0
TA,286000.0
TA,285000.0
TA,285000.0
TA,285000.0
TA,284000.0
TA,284000.0
TA,283463.0
TA,282922.0
TA,281213.0
TA,281000.0
TA,280000.0
TA,280000.0
TA,280000.0
TA,280000.0
TA,279500.0
TA,278000.0
TA,278000.0
TA,277500.0
TA,277000.0
TA,277000.0
TA,276000.0
TA,275500.0
TA,275000.0
TA,275000.0
TA,275000.0
TA,275000.0
TA,275000.0
Gd,274970.0
TA,274900.0
TA,274725.0
TA,274300.0
TA,274000.0
TA,272000.0
TA,272000.0
TA,271900.0
TA,271000.0
TA,271000.0
TA,270000.0
TA,270000.0
TA,270000.0
TA,269790.0
TA,269500.0
