KitchenAbvGr,SalePrice
1,755000.0
1,745000.0
1,625000.0
1,611657.0
1,582933.0
1,556581.0
1,555000.0
1,538000.0
1,501837.0
1,485000.0
1,475000.0
1,466500.0
1,465000.0
1,451950.0
1,446261.0
1,440000.0
1,438780.0
1,437154.0
1,430000.0
1,426000.0
1,424870.0
1,423000.0
1,415298.0
1,412500.0
1,410000.0
1,403000.0
1,402861.0
1,402000.0
1,395192.0
1,395000.0
1,394617.0
1,394432.0
1,392500.0
1,392000.0
1,386250.0
1,385000.0
1,385000.0
1,383970.0
1,381000.0
1,380000.0
1,378500.0
1,377500.0
1,377426.0
1,375000.0
1,374000.0
1,372500.0
1,372402.0
1,370878.0
1,369900.0
1,367294.0
1,361919.0
1,360000.0
1,359100.0
1,354000.0
1,350000.0
1,350000.0
1,348000.0
1,345000.0
1,345000.0
1,342643.0
1,341000.0
1,340000.0
1,340000.0
1,339750.0
1,337500.0
1,337000.0
1,336000.0
1,335000.0
1,335000.0
1,335000.0
1,333168.0
1,328900.0
1,328000.0
1,326000.0
1,325624.0
1,325300.0
1,325000.0
1,325000.0
1,325000.0
1,325000.0
1,324000.0
1,320000.0
1,320000.0
1,320000.0
1,320000.0
1,319900.0
1,319000.0
1,318061.0
1,318000.0
1,318000.0
1,317000.0
1,316600.0
1,315750.0
1,315500.0
1,315000.0
1,315000.0
1,315000.0
1,315000.0
1,314813.0
1,313000.0
1,312500.0
1,311872.0
1,311500.0
1,310000.0
1,310000.0
1,309000.0
1,307000.0
1,306000.0
1,305900.0
1,305000.0
1,303477.0
1,302000.0
1,302000.0
1,301500.0
1,301000.0
1,299800.0
1,297000.0
1,295493.0
1,295000.0
1,294000.0
1,293077.0
1,290000.0
1,290000.0
1,290000.0
1,290000.0
1,290000.0
1,289000.0
1,287090.0
1,287000.0
1,287000.0
1,286000.0
1,285000.0
1,285000.0
1,285000.0
1,284000.0
1,284000.0
1,283463.0
1,282922.0
1,281213.0
1,281000.0
1,280000.0
1,280000.0
1,280000.0
1,280000.0
1,279500.0
1,278000.0
1,278000.0
1,277500.0
1,277000.0
1,277000.0
1,276000.0
1,275500.0
1,275000.0
1,275000.0
1,275000.0
1,275000.0
1,275000.0
1,274970.0
1,274900.0
1,274725.0
1,274300.0
1,274000.0
1,272000.0
1,272000.0
1,271900.0
1,271000.0
1,271000.0
1,270000.0
1,270000.0
1,270000.0
1,269790.0
1,269500.0
1,268000.0
1,268000.0
1,267000.0
1,266500.0
1,266000.0
1,266000.0
1,265979.0
1,265900.0
1,265000.0
1,264561.0
1,264132.0
1,263435.0
1,263000.0
1,262500.0
1,262500.0
1,262280.0
1,262000.0
1,261500.0
1,260400.0
1,260000.0
1,260000.0
1,260000.0
1,260000.0
1,260000.0
1,260000.0
1,259500.0
1,259000.0
1,258000.0
1,257500.0
1,257000.0
1,256300.0
1,256000.0
1,256000.0
1,255900.0
1,255500.0
1,255000.0
1,255000.0
1,254900.0
1,254000.0
1,253293.0
1,253000.0
1,252678.0
1,252000.0
1,251000.0
1,250580.0
1,250000.0
1,250000.0
1,250000.0
1,250000.0
1,250000.0
1,250000.0
1,250000.0
1,250000.0
1,249700.0
1,248900.0
1,248328.0
1,248000.0
1,248000.0
1,246578.0
1,245500.0
1,245350.0
1,245000.0
1,244600.0
1,244400.0
1,244000.0
1,244000.0
1,244000.0
1,243000.0
1,242000.0
1,242000.0
1,241500.0
1,241500.0
1,241000.0
1,240000.0
1,240000.0
1,240000.0
1,240000.0
1,240000.0
1,240000.0
1,239900.0
1,239799.0
1,239686.0
1,239500.0
1,239000.0
1,239000.0
1,239000.0
1,239000.0
1,239000.0
1,239000.0
1,238000.0
1,237500.0
1,237000.0
1,237000.0
1,236500.0
1,236500.0
1,236000.0
1,236000.0
1,235128.0
1,235000.0
1,235000.0
1,235000.0
1,235000.0
1,235000.0
1,235000.0
1,235000.0
1,234000.0
1,234000.0
1,233230.0
1,233170.0
1,233000.0
1,232600.0
1,232000.0
1,232000.0
1,232000.0
1,231500.0
1,231500.0
1,230500.0
1,230000.0
1,230000.0
1,230000.0
1,230000.0
1,230000.0
1,230000.0
1,230000.0
1,230000.0
1,229456.0
1,229000.0
1,228950.0
1,228500.0
1,228500.0
1,228000.0
1,228000.0
1,227875.0
1,227680.0
1,227000.0
1,227000.0
1,227000.0
1,226700.0
1,226000.0
1,226000.0
1,226000.0
1,225000.0
1,225000.0
1,225000.0
1,225000.0
1,225000.0
1,225000.0
1,224900.0
1,224900.0
1,224500.0
1,224000.0
1,224000.0
1,223500.0
1,223500.0
1,223000.0
1,222500.0
1,222500.0
1,222000.0
1,222000.0
1,222000.0
1,221500.0
1,221000.0
1,221000.0
1,220000.0
1,220000.0
1,220000.0
1,220000.0
1,220000.0
1,219500.0
1,219500.0
1,219500.0
1,219210.0
1,218000.0
1,217500.0
1,217000.0
1,217000.0
1,216837.0
1,216500.0
1,216000.0
1,215200.0
1,215000.0
1,215000.0
1,215000.0
1,215000.0
1,215000.0
1,215000.0
1,215000.0
1,215000.0
1,214900.0
1,214500.0
1,214000.0
1,214000.0
1,214000.0
1,214000.0
1,214000.0
1,213500.0
1,213500.0
1,213490.0
1,213250.0
