SaleType,SalePrice
WD,755000.0
WD,745000.0
WD,625000.0
New,611657.0
New,582933.0
New,556581.0
WD,555000.0
WD,538000.0
New,501837.0
New,485000.0
WD,475000.0
WD,466500.0
New,465000.0
ConLI,451950.0
New,446261.0
New,440000.0
New,438780.0
New,437154.0
WD,430000.0
New,426000.0
New,424870.0
New,423000.0
New,415298.0
WD,412500.0
WD,410000.0
WD,403000.0
New,402861.0
WD,402000.0
New,395192.0
New,395000.0
New,394617.0
New,394432.0
New,392500.0
New,392000.0
WD,386250.0
WD,385000.0
New,385000.0
New,383970.0
WD,381000.0
WD,380000.0
WD,378500.0
WD,377500.0
WD,377426.0
WD,375000.0
WD,374000.0
New,372500.0
New,372402.0
New,370878.0
New,369900.0
New,367294.0
New,361919.0
WD,360000.0
WD,359100.0
WD,354000.0
WD,350000.0
WD,350000.0
WD,348000.0
New,345000.0
WD,345000.0
New,342643.0
WD,341000.0
WD,340000.0
WD,340000.0
New,339750.0
WD,337500.0
WD,337000.0
WD,336000.0
WD,335000.0
WD,335000.0
WD,335000.0
WD,333168.0
CWD,328900.0
WD,328000.0
WD,326000.0
New,325624.0
New,325300.0
WD,325000.0
WD,325000.0
WD,325000.0
WD,325000.0
Con,324000.0
WD,320000.0
New,320000.0
WD,320000.0
WD,320000.0
WD,319900.0
New,319000.0
New,318061.0
New,318000.0
New,318000.0
WD,317000.0
WD,316600.0
WD,315750.0
WD,315500.0
WD,315000.0
WD,315000.0
WD,315000.0
WD,315000.0
New,314813.0
WD,313000.0
WD,312500.0
New,311872.0
WD,311500.0
WD,310000.0
WD,310000.0
WD,309000.0
WD,307000.0
WD,306000.0
WD,305900.0
WD,305000.0
New,303477.0
WD,302000.0
WD,302000.0
WD,301500.0
WD,301000.0
WD,299800.0
WD,297000.0
WD,295493.0
WD,295000.0
WD,294000.0
New,293077.0
WD,290000.0
WD,290000.0
WD,290000.0
New,290000.0
WD,290000.0
WD,289000.0
New,287090.0
COD,287000.0
WD,287000.0
WD,286000.0
WD,285000.0
WD,285000.0
WD,285000.0
WD,284000.0
WD,284000.0
New,283463.0
WD,282922.0
WD,281213.0
New,281000.0
WD,280000.0
New,280000.0
WD,280000.0
WD,280000.0
New,279500.0
WD,278000.0
WD,278000.0
WD,277500.0
WD,277000.0
WD,277000.0
New,276000.0
WD,275500.0
WD,275000.0
WD,275000.0
WD,275000.0
WD,275000.0
WD,275000.0
WD,274970.0
WD,274900.0
New,274725.0
WD,274300.0
WD,274000.0
WD,272000.0
WD,272000.0
WD,271900.0
WD,271000.0
WD,271000.0
WD,270000.0
WD,270000.0
WD,270000.0
WD,269790.0
New,269500.0
WD,268000.0
WD,268000.0
WD,267000.0
WD,266500.0
New,266000.0
WD,266000.0
WD,265979.0
WD,265900.0
WD,265000.0
New,264561.0
New,264132.0
New,263435.0
WD,263000.0
WD,262500.0
WD,262500.0
WD,262280.0
WD,262000.0
WD,261500.0
WD,260400.0
WD,260000.0
WD,260000.0
WD,260000.0
WD,260000.0
WD,260000.0
WD,260000.0
WD,259500.0
WD,259000.0
WD,258000.0
WD,257500.0
COD,257000.0
WD,256300.0
WD,256000.0
WD,256000.0
WD,255900.0
WD,255500.0
WD,255000.0
WD,255000.0
WD,254900.0
WD,254000.0
New,253293.0
WD,253000.0
New,252678.0
WD,252000.0
WD,251000.0
New,250580.0
WD,250000.0
WD,250000.0
WD,250000.0
WD,250000.0
WD,250000.0
WD,250000.0
WD,250000.0
WD,250000.0
WD,249700.0
New,248900.0
New,248328.0
WD,248000.0
WD,248000.0
New,246578.0
WD,245500.0
WD,245350.0
WD,245000.0
New,244600.0
COD,244400.0
WD,244000.0
WD,244000.0
WD,244000.0
WD,243000.0
WD,242000.0
WD,242000.0
WD,241500.0
WD,241500.0
WD,241000.0
WD,240000.0
WD,240000.0
WD,240000.0
New,240000.0
WD,240000.0
WD,240000.0
WD,239900.0
New,239799.0
WD,239686.0
