FullBath,SalePrice
3,755000.0
3,745000.0
3,625000.0
2,611657.0
3,582933.0
3,556581.0
2,555000.0
3,538000.0
2,501837.0
3,485000.0
2,475000.0
2,466500.0
2,465000.0
2,451950.0
2,446261.0
2,440000.0
3,438780.0
2,437154.0
3,430000.0
2,426000.0
3,424870.0
1,423000.0
2,415298.0
2,412500.0
2,410000.0
2,403000.0
2,402861.0
2,402000.0
2,395192.0
2,395000.0
2,394617.0
1,394432.0
2,392500.0
2,392000.0
2,386250.0
0,385000.0
2,385000.0
2,383970.0
3,381000.0
2,380000.0
2,378500.0
2,377500.0
2,377426.0
2,375000.0
2,374000.0
2,372500.0
2,372402.0
2,370878.0
2,369900.0
1,367294.0
2,361919.0
2,360000.0
2,359100.0
2,354000.0
2,350000.0
2,350000.0
2,348000.0
3,345000.0
2,345000.0
3,342643.0
2,341000.0
3,340000.0
2,340000.0
2,339750.0
2,337500.0
2,337000.0
2,336000.0
2,335000.0
2,335000.0
2,335000.0
2,333168.0
2,328900.0
2,328000.0
2,326000.0
1,325624.0
3,325300.0
2,325000.0
3,325000.0
2,325000.0
2,325000.0
1,324000.0
3,320000.0
2,320000.0
2,320000.0
2,320000.0
2,319900.0
2,319000.0
2,318061.0
2,318000.0
2,318000.0
2,317000.0
1,316600.0
2,315750.0
2,315500.0
2,315000.0
2,315000.0
2,315000.0
2,315000.0
2,314813.0
2,313000.0
2,312500.0
2,311872.0
1,311500.0
2,310000.0
2,310000.0
3,309000.0
2,307000.0
2,306000.0
2,305900.0
2,305000.0
2,303477.0
2,302000.0
2,302000.0
2,301500.0
2,301000.0
3,299800.0
2,297000.0
2,295493.0
3,295000.0
2,294000.0
2,293077.0
2,290000.0
2,290000.0
2,290000.0
2,290000.0
2,290000.0
2,289000.0
2,287090.0
2,287000.0
2,287000.0
1,286000.0
2,285000.0
2,285000.0
2,285000.0
2,284000.0
2,284000.0
2,283463.0
2,282922.0
2,281213.0
2,281000.0
2,280000.0
2,280000.0
2,280000.0
2,280000.0
2,279500.0
2,278000.0
2,278000.0
2,277500.0
2,277000.0
2,277000.0
2,276000.0
2,275500.0
2,275000.0
2,275000.0
2,275000.0
2,275000.0
2,275000.0
2,274970.0
2,274900.0
2,274725.0
2,274300.0
1,274000.0
2,272000.0
2,272000.0
2,271900.0
2,271000.0
2,271000.0
2,270000.0
1,270000.0
2,270000.0
2,269790.0
2,269500.0
2,268000.0
2,268000.0
2,267000.0
2,266500.0
2,266000.0
2,266000.0
1,265979.0
2,265900.0
2,265000.0
2,264561.0
2,264132.0
2,263435.0
2,263000.0
2,262500.0
2,262500.0
2,262280.0
2,262000.0
2,261500.0
2,260400.0
2,260000.0
2,260000.0
2,260000.0
2,260000.0
0,260000.0
2,260000.0
2,259500.0
2,259000.0
2,258000.0
2,257500.0
2,257000.0
2,256300.0
1,256000.0
2,256000.0
2,255900.0
2,255500.0
2,255000.0
2,255000.0
2,254900.0
2,254000.0
2,253293.0
2,253000.0
2,252678.0
2,252000.0
2,251000.0
2,250580.0
2,250000.0
2,250000.0
2,250000.0
2,250000.0
1,250000.0
2,250000.0
2,250000.0
3,250000.0
2,249700.0
2,248900.0
2,248328.0
2,248000.0
2,248000.0
2,246578.0
1,245500.0
2,245350.0
2,245000.0
2,244600.0
2,244400.0
2,244000.0
2,244000.0
2,244000.0
2,243000.0
2,242000.0
2,242000.0
2,241500.0
1,241500.0
2,241000.0
2,240000.0
2,240000.0
3,240000.0
2,240000.0
2,240000.0
2,240000.0
2,239900.0
2,239799.0
1,239686.0
2,239500.0
2,239000.0
2,239000.0
2,239000.0
2,239000.0
2,239000.0
2,239000.0
2,238000.0
2,237500.0
2,237000.0
2,237000.0
2,236500.0
2,236500.0
2,236000.0
2,236000.0
2,235128.0
1,235000.0
2,235000.0
2,235000.0
2,235000.0
2,235000.0
2,235000.0
2,235000.0
1,234000.0
2,234000.0
2,233230.0
2,233170.0
2,233000.0
2,232600.0
2,232000.0
2,232000.0
2,232000.0
2,231500.0
2,231500.0
2,230500.0
2,230000.0
2,230000.0
2,230000.0
2,230000.0
1,230000.0
2,230000.0
1,230000.0
2,230000.0
2,229456.0
2,229000.0
2,228950.0
2,228500.0
2,228500.0
2,228000.0
2,228000.0
3,227875.0
2,227680.0
2,227000.0
2,227000.0
2,227000.0
2,226700.0
2,226000.0
2,226000.0
2,226000.0
2,225000.0
2,225000.0
3,225000.0
2,225000.0
2,225000.0
2,225000.0
2,224900.0
2,224900.0
2,224500.0
2,224000.0
1,224000.0
2,223500.0
1,223500.0
2,223000.0
2,222500.0
2,222500.0
2,222000.0
2,222000.0
2,222000.0
2,221500.0
2,221000.0
2,221000.0
2,220000.0
2,220000.0
2,220000.0
2,220000.0
1,220000.0
2,219500.0
2,219500.0
1,219500.0
2,219210.0
2,218000.0
2,217500.0
2,217000.0
2,217000.0
2,216837.0
2,216500.0
2,216000.0
2,215200.0
1,215000.0
2,215000.0
2,215000.0
2,215000.0
2,215000.0
2,215000.0
2,215000.0
2,215000.0
2,214900.0
2,214500.0
2,214000.0
2,214000.0
2,214000.0
2,214000.0
2,214000.0
2,213500.0
2,213500.0
2,213490.0
2,213250.0
2,213000.0
2,213000.0
2,213000.0
2,212900.0
2,212000.0
1,212000.0
2,212000.0
2,211000.0
2,211000.0
2,210000.0
2,210000.0
2,210000.0
1,210000.0
2,210000.0
2,209500.0
2,208900.0
2,208900.0
2,208500.0
2,208300.0
1,207500.0
2,207500.0
2,207500.0
2,207500.0
2,207500.0
2,207000.0
1,207000.0
2,206900.0
2,206300.0
2,206000.0
2,205950.0
2,205000.0
2,205000.0
2,205000.0
2,205000.0
2,205000.0
2,205000.0
2,204900.0
2,204750.0
2,204000.0
2,204000.0
2,203000.0
2,203000.0
2,202900.0
2,202665.0
2,202500.0
2,202500.0
2,202500.0
1,201800.0
2,201000.0
2,201000.0
2,201000.0
3,200624.0
2,200500.0
3,200500.0
2,200141.0
1,200100.0
2,200000.0
2,200000.0
2,200000.0
2,200000.0
2,200000.0
2,200000.0
2,200000.0
2,200000.0
2,199900.0
1,199900.0
2,198900.0
3,198500.0
2,197900.0
2,197900.0
1,197900.0
1,197500.0
2,197500.0
2,197000.0
2,197000.0
1,197000.0
2,197000.0
2,196500.0
2,196500.0
2,196000.0
2,196000.0
2,196000.0
2,195400.0
2,195000.0
2,195000.0
2,195000.0
2,194700.0
2,194500.0
2,194500.0
2,194500.0
0,194201.0
2,194000.0
2,194000.0
1,194000.0
2,193879.0
2,193500.0
2,193500.0
2,193000.0
2,193000.0
2,193000.0
2,192500.0
2,192500.0
2,192140.0
2,192000.0
2,192000.0
2,192000.0
2,192000.0
2,192000.0
2,191000.0
2,191000.0
2,191000.0
2,191000.0
2,190000.0
2,190000.0
1,190000.0
1,190000.0
2,190000.0
2,190000.0
2,190000.0
2,190000.0
2,190000.0
2,190000.0
2,190000.0
2,190000.0
