Heating,SalePrice
GasA,755000.0
GasA,745000.0
GasA,625000.0
GasA,611657.0
GasA,582933.0
GasA,556581.0
GasA,555000.0
GasA,538000.0
GasA,501837.0
GasA,485000.0
GasA,475000.0
GasA,466500.0
GasA,465000.0
GasA,451950.0
GasA,446261.0
GasA,440000.0
GasA,438780.0
GasA,437154.0
GasA,430000.0
GasA,426000.0
GasA,424870.0
GasA,423000.0
GasA,415298.0
GasA,412500.0
GasA,410000.0
GasA,403000.0
GasA,402861.0
GasA,402000.0
GasA,395192.0
GasA,395000.0
GasA,394617.0
GasA,394432.0
GasA,392500.0
GasA,392000.0
GasA,386250.0
GasA,385000.0
GasA,385000.0
GasA,383970.0
GasA,381000.0
GasA,380000.0
GasA,378500.0
GasA,377500.0
GasA,377426.0
GasW,375000.0
GasA,374000.0
GasA,372500.0
GasA,372402.0
GasA,370878.0
GasA,369900.0
GasA,367294.0
GasA,361919.0
GasA,360000.0
GasA,359100.0
GasA,354000.0
GasA,350000.0
GasA,350000.0
GasA,348000.0
GasA,345000.0
GasA,345000.0
GasA,342643.0
GasA,341000.0
GasA,340000.0
GasA,340000.0
GasA,339750.0
GasA,337500.0
GasA,337000.0
GasA,336000.0
GasA,335000.0
GasA,335000.0
GasA,335000.0
GasA,333168.0
GasA,328900.0
GasA,328000.0
GasA,326000.0
GasA,325624.0
GasA,325300.0
GasA,325000.0
GasA,325000.0
GasA,325000.0
GasA,325000.0
GasA,324000.0
GasA,320000.0
GasA,320000.0
GasA,320000.0
GasA,320000.0
GasA,319900.0
GasA,319000.0
GasA,318061.0
GasA,318000.0
GasA,318000.0
GasA,317000.0
GasA,316600.0
GasA,315750.0
GasA,315500.0
GasA,315000.0
GasA,315000.0
GasA,315000.0
GasA,315000.0
GasA,314813.0
GasA,313000.0
GasA,312500.0
GasA,311872.0
GasA,311500.0
GasA,310000.0
GasA,310000.0
GasA,309000.0
GasA,307000.0
GasA,306000.0
GasA,305900.0
GasA,305000.0
GasA,303477.0
GasA,302000.0
GasA,302000.0
GasA,301500.0
GasA,301000.0
GasA,299800.0
GasA,297000.0
GasA,295493.0
GasA,295000.0
GasA,294000.0
GasA,293077.0
GasA,290000.0
GasA,290000.0
GasA,290000.0
GasA,290000.0
GasA,290000.0
GasA,289000.0
GasA,287090.0
GasA,287000.0
GasA,287000.0
GasA,286000.0
GasA,285000.0
GasA,285000.0
GasA,285000.0
GasA,284000.0
GasA,284000.0
GasA,283463.0
GasA,282922.0
GasA,281213.0
GasA,281000.0
GasA,280000.0
GasA,280000.0
GasA,280000.0
GasA,280000.0
GasA,279500.0
GasA,278000.0
GasA,278000.0
GasA,277500.0
GasA,277000.0
GasA,277000.0
GasA,276000.0
GasA,275500.0
GasA,275000.0
GasA,275000.0
GasA,275000.0
GasA,275000.0
GasA,275000.0
GasA,274970.0
GasA,274900.0
GasA,274725.0
GasA,274300.0
GasA,274000.0
GasA,272000.0
GasA,272000.0
GasA,271900.0
GasA,271000.0
GasA,271000.0
GasA,270000.0
GasA,270000.0
GasA,270000.0
GasA,269790.0
GasA,269500.0
GasA,268000.0
GasA,268000.0
GasA,267000.0
GasA,266500.0
GasA,266000.0
GasA,266000.0
GasW,265979.0
GasA,265900.0
GasA,265000.0
GasA,264561.0
GasA,264132.0
GasA,263435.0
GasA,263000.0
GasA,262500.0
GasA,262500.0
GasA,262280.0
GasA,262000.0
GasA,261500.0
GasA,260400.0
GasA,260000.0
GasA,260000.0
GasA,260000.0
GasA,260000.0
GasA,260000.0
GasA,260000.0
GasA,259500.0
GasA,259000.0
GasA,258000.0
GasA,257500.0
GasA,257000.0
GasA,256300.0
GasA,256000.0
GasW,256000.0
GasA,255900.0
GasA,255500.0
GasA,255000.0
GasA,255000.0
GasA,254900.0
GasA,254000.0
GasA,253293.0
GasA,253000.0
GasA,252678.0
GasA,252000.0
GasA,251000.0
GasA,250580.0
GasA,250000.0
GasA,250000.0
GasA,250000.0
GasA,250000.0
GasA,250000.0
GasA,250000.0
GasA,250000.0
GasA,250000.0
GasA,249700.0
GasA,248900.0
GasA,248328.0
GasA,248000.0
GasA,248000.0
GasA,246578.0
GasA,245500.0
GasA,245350.0
GasA,245000.0
GasA,244600.0
GasA,244400.0
GasA,244000.0
GasA,244000.0
GasA,244000.0
GasA,243000.0
GasA,242000.0
GasA,242000.0
GasA,241500.0
GasA,241500.0
GasA,241000.0
GasA,240000.0
GasA,240000.0
GasA,240000.0
GasA,240000.0
GasA,240000.0
GasA,240000.0
GasA,239900.0
GasA,239799.0
GasA,239686.0
GasA,239500.0
GasA,239000.0
GasA,239000.0
GasW,239000.0
GasA,239000.0
GasA,239000.0
GasA,239000.0
GasA,238000.0
GasA,237500.0
GasA,237000.0
GasA,237000.0
GasA,236500.0
GasA,236500.0
GasA,236000.0
GasA,236000.0
GasA,235128.0
GasA,235000.0
GasA,235000.0
GasA,235000.0
GasA,235000.0
GasA,235000.0
GasA,235000.0
GasA,235000.0
GasA,234000.0
GasA,234000.0
GasA,233230.0
GasA,233170.0
GasA,233000.0
GasA,232600.0
GasA,232000.0
GasA,232000.0
GasA,232000.0
GasA,231500.0
GasA,231500.0
GasA,230500.0
GasA,230000.0
GasA,230000.0
GasA,230000.0
GasA,230000.0
GasA,230000.0
GasA,230000.0
GasA,230000.0
GasA,230000.0
