BsmtFinSF2,SalePrice
0,755000.0
0,745000.0
0,625000.0
0,611657.0
0,582933.0
0,556581.0
539,555000.0
0,538000.0
0,501837.0
0,485000.0
0,475000.0
0,466500.0
0,465000.0
0,451950.0
0,446261.0
0,440000.0
0,438780.0
0,437154.0
0,430000.0
0,426000.0
0,424870.0
0,423000.0
0,415298.0
0,412500.0
0,410000.0
0,403000.0
0,402861.0
180,402000.0
0,395192.0
0,395000.0
0,394617.0
0,394432.0
0,392500.0
0,392000.0
0,386250.0
0,385000.0
0,385000.0
0,383970.0
0,381000.0
0,380000.0
0,378500.0
0,377500.0
0,377426.0
820,375000.0
0,374000.0
0,372500.0
0,372402.0
0,370878.0
0,369900.0
0,367294.0
0,361919.0
0,360000.0
0,359100.0
0,354000.0
0,350000.0
0,350000.0
0,348000.0
0,345000.0
0,345000.0
0,342643.0
0,341000.0
0,340000.0
0,340000.0
0,339750.0
0,337500.0
0,337000.0
0,336000.0
0,335000.0
0,335000.0
0,335000.0
0,333168.0
0,328900.0
0,328000.0
0,326000.0
0,325624.0
0,325300.0
0,325000.0
0,325000.0
0,325000.0
0,325000.0
0,324000.0
0,320000.0
0,320000.0
0,320000.0
0,320000.0
0,319900.0
0,319000.0
0,318061.0
0,318000.0
0,318000.0
0,317000.0
0,316600.0
0,315750.0
0,315500.0
0,315000.0
0,315000.0
0,315000.0
0,315000.0
0,314813.0
0,313000.0
0,312500.0
0,311872.0
0,311500.0
0,310000.0
0,310000.0
0,309000.0
0,307000.0
0,306000.0
0,305900.0
0,305000.0
0,303477.0
0,302000.0
0,302000.0
0,301500.0
1474,301000.0
80,299800.0
0,297000.0
0,295493.0
0,295000.0
1031,294000.0
0,293077.0
0,290000.0
0,290000.0
64,290000.0
0,290000.0
0,290000.0
0,289000.0
0,287090.0
400,287000.0
0,287000.0
0,286000.0
0,285000.0
0,285000.0
0,285000.0
479,284000.0
0,284000.0
0,283463.0
0,282922.0
0,281213.0
0,281000.0
0,280000.0
0,280000.0
0,280000.0
0,280000.0
0,279500.0
0,278000.0
0,278000.0
0,277500.0
0,277000.0
0,277000.0
0,276000.0
0,275500.0
0,275000.0
0,275000.0
0,275000.0
0,275000.0
0,275000.0
