Street,SalePrice
Pave,755000.0
Pave,745000.0
Pave,625000.0
Pave,611657.0
Pave,582933.0
Pave,556581.0
Pave,555000.0
Pave,538000.0
Pave,501837.0
Pave,485000.0
Pave,475000.0
Pave,466500.0
Pave,465000.0
Pave,451950.0
Pave,446261.0
Pave,440000.0
Pave,438780.0
Pave,437154.0
Pave,430000.0
Pave,426000.0
Pave,424870.0
Pave,423000.0
Pave,415298.0
Pave,412500.0
Pave,410000.0
Pave,403000.0
Pave,402861.0
Pave,402000.0
Pave,395192.0
Pave,395000.0
Pave,394617.0
Pave,394432.0
Pave,392500.0
Pave,392000.0
Pave,386250.0
Pave,385000.0
Pave,385000.0
Pave,383970.0
Pave,381000.0
Pave,380000.0
Pave,378500.0
Pave,377500.0
Pave,377426.0
Pave,375000.0
Pave,374000.0
Pave,372500.0
Pave,372402.0
Pave,370878.0
Pave,369900.0
Pave,367294.0
Pave,361919.0
Pave,360000.0
Pave,359100.0
Pave,354000.0
Pave,350000.0
Pave,350000.0
Pave,348000.0
Pave,345000.0
Pave,345000.0
Pave,342643.0
Pave,341000.0
Pave,340000.0
Pave,340000.0
Pave,339750.0
Pave,337500.0
Pave,337000.0
Pave,336000.0
Pave,335000.0
Pave,335000.0
Pave,335000.0
Pave,333168.0
Pave,328900.0
Pave,328000.0
Pave,326000.0
Pave,325624.0
Pave,325300.0
Pave,325000.0
Pave,325000.0
Pave,325000.0
Pave,325000.0
Pave,324000.0
Pave,320000.0
Pave,320000.0
Pave,320000.0
Pave,320000.0
Pave,319900.0
Pave,319000.0
Pave,318061.0
Pave,318000.0
Pave,318000.0
Pave,317000.0
Pave,316600.0
Pave,315750.0
Pave,315500.0
Pave,315000.0
Pave,315000.0
Pave,315000.0
Pave,315000.0
Pave,314813.0
Pave,313000.0
Pave,312500.0
Pave,311872.0
Pave,311500.0
Pave,310000.0
Pave,310000.0
Pave,309000.0
Pave,307000.0
Pave,306000.0
Pave,305900.0
Pave,305000.0
Pave,303477.0
Pave,302000.0
Pave,302000.0
Pave,301500.0
Pave,301000.0
Pave,299800.0
Pave,297000.0
Pave,295493.0
Pave,295000.0
Pave,294000.0
Pave,293077.0
Pave,290000.0
Pave,290000.0
Pave,290000.0
Pave,290000.0
Pave,290000.0
Pave,289000.0
Pave,287090.0
Pave,287000.0
Pave,287000.0
Pave,286000.0
Pave,285000.0
Pave,285000.0
Pave,285000.0
Pave,284000.0
Pave,284000.0
Pave,283463.0
Pave,282922.0
Pave,281213.0
Pave,281000.0
Pave,280000.0
Pave,280000.0
Pave,280000.0
Pave,280000.0
Pave,279500.0
Pave,278000.0
Pave,278000.0
