BsmtUnfSF,SalePrice
989,755000.0
300,745000.0
543,625000.0
142,611657.0
1734,582933.0
1752,556581.0
788,555000.0
234,538000.0
312,501837.0
1926,485000.0
1107,475000.0
1351,466500.0
690,465000.0
384,451950.0
122,446261.0
626,440000.0
1410,438780.0
438,437154.0
1969,430000.0
402,426000.0
316,424870.0
356,423000.0
2121,415298.0
556,412500.0
1217,410000.0
773,403000.0
570,402861.0
88,402000.0
284,395192.0
1935,395000.0
596,394617.0
411,394432.0
120,392500.0
474,392000.0
2336,386250.0
32,385000.0
442,385000.0
280,383970.0
536,381000.0
2153,380000.0
2002,378500.0
426,377500.0
673,377426.0
80,375000.0
225,374000.0
2046,372500.0
310,372402.0
645,370878.0
408,369900.0
162,367294.0
1234,361919.0
622,360000.0
537,359100.0
166,354000.0
413,350000.0
292,350000.0
322,348000.0
177,345000.0
542,345000.0
1249,342643.0
138,341000.0
1580,340000.0
503,340000.0
245,339750.0
528,337500.0
89,337000.0
371,336000.0
245,335000.0
168,335000.0
496,335000.0
1393,333168.0
460,328900.0
105,328000.0
572,326000.0
294,325624.0
1158,325300.0
1122,325000.0
1237,325000.0
431,325000.0
80,325000.0
100,324000.0
203,320000.0
1335,320000.0
464,320000.0
1905,320000.0
1296,319900.0
392,319000.0
1869,318061.0
1694,318000.0
730,318000.0
1143,317000.0
55,316600.0
660,315750.0
598,315500.0
556,315000.0
484,315000.0
578,315000.0
533,315000.0
1774,314813.0
536,313000.0
526,312500.0
600,311872.0
457,311500.0
326,310000.0
252,310000.0
1117,309000.0
317,307000.0
486,306000.0
536,305900.0
611,305000.0
1120,303477.0
424,302000.0
971,302000.0
672,301500.0
0,301000.0
487,299800.0
417,297000.0
1622,295493.0
1470,295000.0
36,294000.0
125,293077.0
638,290000.0
628,290000.0
1198,290000.0
440,290000.0
425,290000.0
254,289000.0
1573,287090.0
0,287000.0
1055,287000.0
440,286000.0
567,285000.0
1181,285000.0
983,285000.0
1603,284000.0
132,284000.0
1652,283463.0
556,282922.0
1094,281213.0
1085,281000.0
130,280000.0
1063,280000.0
878,280000.0
797,280000.0
1494,279500.0
1420,278000.0
343,278000.0
408,277500.0
92,277000.0
747,277000.0
1482,276000.0
1030,275500.0
0,275000.0
512,275000.0
594,275000.0
1753,275000.0
221,275000.0
697,274970.0
625,274900.0
868,274725.0
133,274300.0
300,274000.0
223,272000.0
434,272000.0
1496,271900.0
350,271000.0
223,271000.0
1088,270000.0
0,270000.0
316,270000.0
255,269790.0
774,269500.0
367,268000.0
1043,268000.0
747,267000.0
877,266500.0
1095,266000.0
1656,266000.0
1240,265979.0
1048,265900.0
1264,265000.0
366,264561.0
1498,264132.0
288,263435.0
912,263000.0
488,262500.0
1203,262500.0
390,262280.0
168,262000.0
309,261500.0
801,260400.0
1288,260000.0
434,260000.0
153,260000.0
360,260000.0
74,260000.0
256,260000.0
104,259500.0
230,259000.0
1141,258000.0
291,257500.0
868,257000.0
1566,256300.0
248,256000.0
1017,256000.0
1128,255900.0
1709,255500.0
1560,255000.0
133,255000.0
769,254900.0
461,254000.0
2042,253293.0
772,253000.0
78,252678.0
1082,252000.0
298,251000.0
1372,250580.0
490,250000.0
1053,250000.0
1626,250000.0
435,250000.0
794,250000.0
0,250000.0
1026,250000.0
133,250000.0
1632,249700.0
1638,248900.0
1689,248328.0
969,248000.0
378,248000.0
286,246578.0
474,245500.0
1694,245350.0
1530,245000.0
1468,244600.0
1032,244400.0
343,244000.0
297,244000.0
1045,244000.0
725,243000.0
710,242000.0
