BsmtFinType2,SalePrice
Unf,755000.0
Unf,745000.0
Unf,625000.0
Unf,611657.0
Unf,582933.0
Unf,556581.0
ALQ,555000.0
Unf,538000.0
Unf,501837.0
Unf,485000.0
Unf,475000.0
Unf,466500.0
Unf,465000.0
Unf,451950.0
Unf,446261.0
Unf,440000.0
Unf,438780.0
Unf,437154.0
Unf,430000.0
Unf,426000.0
Unf,424870.0
Unf,423000.0
Unf,415298.0
Unf,412500.0
Unf,410000.0
Unf,403000.0
Unf,402861.0
Rec,402000.0
Unf,395192.0
Unf,395000.0
Unf,394617.0
Unf,394432.0
Unf,392500.0
Unf,392000.0
Unf,386250.0
Unf,385000.0
Unf,385000.0
Unf,383970.0
Unf,381000.0
Unf,380000.0
Unf,378500.0
Unf,377500.0
Unf,377426.0
Rec,375000.0
Unf,374000.0
Unf,372500.0
Unf,372402.0
Unf,370878.0
Unf,369900.0
Unf,367294.0
Unf,361919.0
Unf,360000.0
Unf,359100.0
Unf,354000.0
Unf,350000.0
Unf,350000.0
Unf,348000.0
Unf,345000.0
Unf,345000.0
Unf,342643.0
Unf,341000.0
Unf,340000.0
Unf,340000.0
Unf,339750.0
Unf,337500.0
Unf,337000.0
Unf,336000.0
Unf,335000.0
Unf,335000.0
Unf,335000.0
Unf,333168.0
Unf,328900.0
Unf,328000.0
Unf,326000.0
Unf,325624.0
Unf,325300.0
Unf,325000.0
Unf,325000.0
Unf,325000.0
Unf,325000.0
Unf,324000.0
Unf,320000.0
Unf,320000.0
Unf,320000.0
Unf,320000.0
Unf,319900.0
Unf,319000.0
Unf,318061.0
Unf,318000.0
Unf,318000.0
Unf,317000.0
Unf,316600.0
Unf,315750.0
Unf,315500.0
Unf,315000.0
Unf,315000.0
Unf,315000.0
Unf,315000.0
Unf,314813.0
Unf,313000.0
Unf,312500.0
Unf,311872.0
Unf,311500.0
Unf,310000.0
Unf,310000.0
Unf,309000.0
Unf,307000.0
Unf,306000.0
Unf,305900.0
Unf,305000.0
Unf,303477.0
Unf,302000.0
Unf,302000.0
Unf,301500.0
ALQ,301000.0
ALQ,299800.0
Unf,297000.0
Unf,295493.0
Unf,295000.0
ALQ,294000.0
Unf,293077.0
Unf,290000.0
Unf,290000.0
ALQ,290000.0
Unf,290000.0
Unf,290000.0
Unf,289000.0
Unf,287090.0
LwQ,287000.0
Unf,287000.0
Unf,286000.0
Unf,285000.0
Unf,285000.0
Unf,285000.0
NA,284000.0
Unf,284000.0
Unf,283463.0
Unf,282922.0
Unf,281213.0
Unf,281000.0
Unf,280000.0
Unf,280000.0
Unf,280000.0
Unf,280000.0
Unf,279500.0
Unf,278000.0
Unf,278000.0
Unf,277500.0
Unf,277000.0
Unf,277000.0
Unf,276000.0
Unf,275500.0
Unf,275000.0
Unf,275000.0
Unf,275000.0
Unf,275000.0
Unf,275000.0
Unf,274970.0
Unf,274900.0
Unf,274725.0
Unf,274300.0
Unf,274000.0
Unf,272000.0
Unf,272000.0
BLQ,271900.0
Unf,271000.0
Unf,271000.0
Unf,270000.0
GLQ,270000.0
Unf,270000.0
Unf,269790.0
Unf,269500.0
Unf,268000.0
Rec,268000.0
Unf,267000.0
Unf,266500.0
Unf,266000.0
Unf,266000.0
Unf,265979.0
Unf,265900.0
Unf,265000.0
Unf,264561.0
Unf,264132.0
Unf,263435.0
Unf,263000.0
Unf,262500.0
Rec,262500.0
Unf,262280.0
Unf,262000.0
Unf,261500.0
Unf,260400.0
Unf,260000.0
Unf,260000.0
Unf,260000.0
Unf,260000.0
Unf,260000.0
Unf,260000.0
LwQ,259500.0
Unf,259000.0
Unf,258000.0
Unf,257500.0
Unf,257000.0
Unf,256300.0
Unf,256000.0
Unf,256000.0
Unf,255900.0
Unf,255500.0
Unf,255000.0
Unf,255000.0
Unf,254900.0
Unf,254000.0
Unf,253293.0
Unf,253000.0
Unf,252678.0
Unf,252000.0
Unf,251000.0
Unf,250580.0
Unf,250000.0
Unf,250000.0
Unf,250000.0
Unf,250000.0
Unf,250000.0
Unf,250000.0
Unf,250000.0
LwQ,250000.0
Unf,249700.0
Unf,248900.0
Unf,248328.0
Unf,248000.0
Unf,248000.0
Unf,246578.0
Unf,245500.0
Unf,245350.0
Unf,245000.0
Unf,244600.0
Unf,244400.0
Unf,244000.0
Unf,244000.0
Unf,244000.0
Unf,243000.0
Unf,242000.0
Unf,242000.0
Unf,241500.0
GLQ,241500.0
Unf,241000.0
Unf,240000.0
Rec,240000.0
Unf,240000.0
Unf,240000.0
Unf,240000.0
Unf,240000.0
Unf,239900.0
Unf,239799.0
Unf,239686.0
Unf,239500.0
Rec,239000.0
Unf,239000.0
Unf,239000.0
Unf,239000.0
Unf,239000.0
Unf,239000.0
GLQ,238000.0
Unf,237500.0
Unf,237000.0
Unf,237000.0
Unf,236500.0
Unf,236500.0
Unf,236000.0
Unf,236000.0
Unf,235128.0
ALQ,235000.0
LwQ,235000.0
Unf,235000.0
Unf,235000.0
Unf,235000.0
Unf,235000.0
Unf,235000.0
Unf,234000.0
Unf,234000.0
Unf,233230.0
Unf,233170.0
Unf,233000.0
Unf,232600.0
Unf,232000.0
Unf,232000.0
GLQ,232000.0
Unf,231500.0
Unf,231500.0
Unf,230500.0
Unf,230000.0
Unf,230000.0
Unf,230000.0
Unf,230000.0
GLQ,230000.0
Unf,230000.0
Unf,230000.0
Unf,230000.0
Unf,229456.0
LwQ,229000.0
BLQ,228950.0
Unf,228500.0
Unf,228500.0
Unf,228000.0
GLQ,228000.0
Unf,227875.0
Unf,227680.0
Unf,227000.0
Unf,227000.0
Unf,227000.0
Unf,226700.0
Unf,226000.0
Unf,226000.0
Unf,226000.0
Unf,225000.0
Unf,225000.0
Unf,225000.0
Unf,225000.0
Unf,225000.0
Unf,225000.0
Unf,224900.0
Unf,224900.0
Unf,224500.0
Unf,224000.0
Unf,224000.0
Unf,223500.0
Unf,223500.0
Unf,223000.0
Unf,222500.0
Unf,222500.0
Unf,222000.0
Unf,222000.0
Unf,222000.0
Unf,221500.0
Unf,221000.0
Unf,221000.0
Unf,220000.0
Unf,220000.0
Unf,220000.0
Unf,220000.0
LwQ,220000.0
Unf,219500.0
Unf,219500.0
Unf,219500.0
Unf,219210.0
Unf,218000.0
LwQ,217500.0
Rec,217000.0
Unf,217000.0
Unf,216837.0
Unf,216500.0
Unf,216000.0
Unf,215200.0
Unf,215000.0
Unf,215000.0
Unf,215000.0
Unf,215000.0
Unf,215000.0
Unf,215000.0
Unf,215000.0
Unf,215000.0
Unf,214900.0
Unf,214500.0
Unf,214000.0
Unf,214000.0
Unf,214000.0
