Fence,SalePrice
GdPrv,755000.0
MnPrv,745000.0
GdPrv,625000.0
GdPrv,611657.0
GdPrv,582933.0
GdPrv,556581.0
GdPrv,555000.0
GdPrv,538000.0
GdPrv,501837.0
GdPrv,485000.0
GdPrv,475000.0
GdPrv,466500.0
GdPrv,465000.0
GdPrv,451950.0
GdPrv,446261.0
GdPrv,440000.0
GdPrv,438780.0
GdPrv,437154.0
GdPrv,430000.0
GdPrv,426000.0
GdPrv,424870.0
GdPrv,423000.0
GdPrv,415298.0
GdPrv,412500.0
GdPrv,410000.0
GdPrv,403000.0
GdPrv,402861.0
GdPrv,402000.0
GdPrv,395192.0
GdPrv,395000.0
GdPrv,394617.0
GdPrv,394432.0
GdPrv,392500.0
GdPrv,392000.0
GdPrv,386250.0
GdPrv,385000.0
GdPrv,385000.0
GdPrv,383970.0
GdWo,381000.0
GdPrv,380000.0
GdPrv,378500.0
GdPrv,377500.0
GdPrv,377426.0
MnPrv,375000.0
GdPrv,374000.0
GdPrv,372500.0
GdPrv,372402.0
GdPrv,370878.0
GdPrv,369900.0
GdPrv,367294.0
GdPrv,361919.0
GdPrv,360000.0
MnPrv,359100.0
GdPrv,354000.0
GdPrv,350000.0
GdPrv,350000.0
GdPrv,348000.0
GdPrv,345000.0
MnPrv,345000.0
GdPrv,342643.0
GdPrv,341000.0
GdPrv,340000.0
GdPrv,340000.0
GdPrv,339750.0
GdPrv,337500.0
GdPrv,337000.0
GdPrv,336000.0
GdPrv,335000.0
GdPrv,335000.0
GdPrv,335000.0
GdPrv,333168.0
GdPrv,328900.0
GdPrv,328000.0
GdPrv,326000.0
GdPrv,325624.0
GdPrv,325300.0
GdPrv,325000.0
GdPrv,325000.0
GdPrv,325000.0
GdPrv,325000.0
GdPrv,324000.0
GdPrv,320000.0
GdPrv,320000.0
GdPrv,320000.0
GdPrv,320000.0
GdPrv,319900.0
GdPrv,319000.0
GdPrv,318061.0
GdPrv,318000.0
GdPrv,318000.0
GdPrv,317000.0
GdPrv,316600.0
GdPrv,315750.0
GdPrv,315500.0
GdPrv,315000.0
GdPrv,315000.0
GdPrv,315000.0
GdPrv,315000.0
GdPrv,314813.0
GdPrv,313000.0
GdPrv,312500.0
GdPrv,311872.0
GdPrv,311500.0
GdPrv,310000.0
GdPrv,310000.0
GdPrv,309000.0
GdPrv,307000.0
GdPrv,306000.0
GdPrv,305900.0
GdPrv,305000.0
GdPrv,303477.0
GdPrv,302000.0
GdPrv,302000.0
GdPrv,301500.0
MnPrv,301000.0
GdPrv,299800.0
GdPrv,297000.0
GdPrv,295493.0
GdPrv,295000.0
MnPrv,294000.0
GdPrv,293077.0
GdPrv,290000.0
GdPrv,290000.0
GdPrv,290000.0
GdPrv,290000.0
GdPrv,290000.0
GdWo,289000.0
GdPrv,287090.0
GdPrv,287000.0
GdPrv,287000.0
GdPrv,286000.0
GdPrv,285000.0
GdPrv,285000.0
GdPrv,285000.0
GdPrv,284000.0
GdPrv,284000.0
GdPrv,283463.0
GdPrv,282922.0
GdPrv,281213.0
GdPrv,281000.0
GdPrv,280000.0
GdPrv,280000.0
MnPrv,280000.0
GdPrv,280000.0
GdPrv,279500.0
MnPrv,278000.0
GdPrv,278000.0
GdPrv,277500.0
GdPrv,277000.0
GdPrv,277000.0
GdPrv,276000.0
GdPrv,275500.0
