MSZoning,SalePrice
RL,755000.0
RL,745000.0
RL,625000.0
RL,611657.0
RL,582933.0
RL,556581.0
RL,555000.0
RL,538000.0
RL,501837.0
RL,485000.0
RM,475000.0
RL,466500.0
RL,465000.0
RL,451950.0
RL,446261.0
RL,440000.0
RL,438780.0
RL,437154.0
RL,430000.0
RL,426000.0
RL,424870.0
RL,423000.0
RL,415298.0
RL,412500.0
RL,410000.0
RL,403000.0
RL,402861.0
RL,402000.0
RL,395192.0
RL,395000.0
RL,394617.0
RL,394432.0
RM,392500.0
RL,392000.0
RL,386250.0
RL,385000.0
RL,385000.0
RL,383970.0
RL,381000.0
RL,380000.0
RL,378500.0
RL,377500.0
RL,377426.0
RL,375000.0
RL,374000.0
RL,372500.0
RL,372402.0
FV,370878.0
RL,369900.0
RL,367294.0
RL,361919.0
RL,360000.0
RL,359100.0
RL,354000.0
RL,350000.0
RL,350000.0
RL,348000.0
RL,345000.0
RL,345000.0
RL,342643.0
RL,341000.0
FV,340000.0
RL,340000.0
FV,339750.0
RL,337500.0
RL,337000.0
RL,336000.0
RL,335000.0
RL,335000.0
RL,335000.0
RL,333168.0
FV,328900.0
RL,328000.0
RL,326000.0
RL,325624.0
RL,325300.0
RL,325000.0
RM,325000.0
RL,325000.0
RL,325000.0
RL,324000.0
RL,320000.0
RL,320000.0
RL,320000.0
RL,320000.0
RL,319900.0
RL,319000.0
RL,318061.0
RL,318000.0
RL,318000.0
RL,317000.0
RL,316600.0
RL,315750.0
RL,315500.0
RL,315000.0
RL,315000.0
RL,315000.0
RL,315000.0
RL,314813.0
RL,313000.0
RL,312500.0
RL,311872.0
RL,311500.0
RL,310000.0
FV,310000.0
RL,309000.0
RL,307000.0
RL,306000.0
RL,305900.0
RL,305000.0
FV,303477.0
RL,302000.0
RL,302000.0
RL,301500.0
RL,301000.0
RL,299800.0
RL,297000.0
RL,295493.0
RM,295000.0
RL,294000.0
RL,293077.0
RL,290000.0
RL,290000.0
RL,290000.0
RL,290000.0
RL,290000.0
RL,289000.0
RL,287090.0
RL,287000.0
RL,287000.0
RL,286000.0
RL,285000.0
RL,285000.0
RL,285000.0
RL,284000.0
RL,284000.0
RL,283463.0
RL,282922.0
RL,281213.0
RL,281000.0
RL,280000.0
RL,280000.0
RL,280000.0
RL,280000.0
RL,279500.0
RL,278000.0
RL,278000.0
RL,277500.0
RL,277000.0
RL,277000.0
RL,276000.0
RL,275500.0
RL,275000.0
RL,275000.0
RL,275000.0
RL,275000.0
RM,275000.0
RL,274970.0
RL,274900.0
RL,274725.0
RL,274300.0
RL,274000.0
RL,272000.0
RL,272000.0
RL,271900.0
RL,271000.0
RL,271000.0
FV,270000.0
RL,270000.0
RL,270000.0
RL,269790.0
RL,269500.0
RL,268000.0
RL,268000.0
RL,267000.0
RL,266500.0
FV,266000.0
RL,266000.0
RM,265979.0
RL,265900.0
RL,265000.0
RL,264561.0
RL,264132.0
FV,263435.0
FV,263000.0
FV,262500.0
RL,262500.0
RL,262280.0
RL,262000.0
RL,261500.0
RL,260400.0
RL,260000.0
RL,260000.0
RL,260000.0
RL,260000.0
RL,260000.0
RL,260000.0
RL,259500.0
RL,259000.0
RL,258000.0
RL,257500.0
RL,257000.0
RL,256300.0
RL,256000.0
RM,256000.0
RL,255900.0
RL,255500.0
RL,255000.0
RL,255000.0
FV,254900.0
