BedroomAbvGr,SalePrice
4,755000.0
4,745000.0
4,625000.0
2,611657.0
4,582933.0
4,556581.0
2,555000.0
4,538000.0
1,501837.0
4,485000.0
4,475000.0
2,466500.0
2,465000.0
3,451950.0
3,446261.0
2,440000.0
3,438780.0
4,437154.0
4,430000.0
3,426000.0
4,424870.0
1,423000.0
3,415298.0
3,412500.0
4,410000.0
4,403000.0
3,402861.0
4,402000.0
3,395192.0
3,395000.0
2,394617.0
1,394432.0
2,392500.0
2,392000.0
3,386250.0
0,385000.0
2,385000.0
4,383970.0
4,381000.0
3,380000.0
3,378500.0
3,377500.0
3,377426.0
3,375000.0
2,374000.0
3,372500.0
2,372402.0
2,370878.0
2,369900.0
1,367294.0
4,361919.0
3,360000.0
4,359100.0
4,354000.0
2,350000.0
4,350000.0
3,348000.0
4,345000.0
4,345000.0
4,342643.0
3,341000.0
4,340000.0
3,340000.0
3,339750.0
3,337500.0
3,337000.0
4,336000.0
4,335000.0
3,335000.0
3,335000.0
4,333168.0
2,328900.0
3,328000.0
3,326000.0
3,325624.0
4,325300.0
4,325000.0
3,325000.0
3,325000.0
2,325000.0
1,324000.0
5,320000.0
4,320000.0
3,320000.0
3,320000.0
2,319900.0
3,319000.0
2,318061.0
3,318000.0
3,318000.0
4,317000.0
1,316600.0
3,315750.0
2,315500.0
3,315000.0
4,315000.0
2,315000.0
3,315000.0
3,314813.0
3,313000.0
3,312500.0
3,311872.0
3,311500.0
5,310000.0
3,310000.0
4,309000.0
3,307000.0
3,306000.0
3,305900.0
4,305000.0
4,303477.0
2,302000.0
4,302000.0
2,301500.0
4,301000.0
4,299800.0
3,297000.0
3,295493.0
3,295000.0
3,294000.0
3,293077.0
4,290000.0
4,290000.0
4,290000.0
3,290000.0
4,290000.0
1,289000.0
3,287090.0
2,287000.0
3,287000.0
0,286000.0
3,285000.0
4,285000.0
4,285000.0
3,284000.0
3,284000.0
3,283463.0
3,282922.0
4,281213.0
3,281000.0
3,280000.0
3,280000.0
2,280000.0
3,280000.0
3,279500.0
4,278000.0
2,278000.0
2,277500.0
3,277000.0
4,277000.0
3,276000.0
3,275500.0
2,275000.0
3,275000.0
2,275000.0
3,275000.0
2,275000.0
4,274970.0
3,274900.0
3,274725.0
3,274300.0
1,274000.0
3,272000.0
4,272000.0
3,271900.0
3,271000.0
3,271000.0
3,270000.0
2,270000.0
3,270000.0
3,269790.0
4,269500.0
4,268000.0
4,268000.0
4,267000.0
4,266500.0
3,266000.0
