Functional,SalePrice
Typ,755000.0
Typ,745000.0
Typ,625000.0
Typ,611657.0
Typ,582933.0
Typ,556581.0
Typ,555000.0
Mod,538000.0
Typ,501837.0
Typ,485000.0
Typ,475000.0
Typ,466500.0
Typ,465000.0
Typ,451950.0
Typ,446261.0
Typ,440000.0
Typ,438780.0
Typ,437154.0
Typ,430000.0
Typ,426000.0
Typ,424870.0
Typ,423000.0
Typ,415298.0
Typ,412500.0
Typ,410000.0
Typ,403000.0
Typ,402861.0
Typ,402000.0
Typ,395192.0
Typ,395000.0
Typ,394617.0
Typ,394432.0
Typ,392500.0
Typ,392000.0
Typ,386250.0
Typ,385000.0
Typ,385000.0
Typ,383970.0
Typ,381000.0
Typ,380000.0
Typ,378500.0
Typ,377500.0
Typ,377426.0
Typ,375000.0
Typ,374000.0
Typ,372500.0
Typ,372402.0
Typ,370878.0
Typ,369900.0
Typ,367294.0
Typ,361919.0
Typ,360000.0
Typ,359100.0
Typ,354000.0
Typ,350000.0
Typ,350000.0
Typ,348000.0
Typ,345000.0
Typ,345000.0
Typ,342643.0
Typ,341000.0
Typ,340000.0
Typ,340000.0
Typ,339750.0
Typ,337500.0
Typ,337000.0
Typ,336000.0
Typ,335000.0
Typ,335000.0
Typ,335000.0
Typ,333168.0
Typ,328900.0
Typ,328000.0
Typ,326000.0
Typ,325624.0
Typ,325300.0
Typ,325000.0
Typ,325000.0
Typ,325000.0
Typ,325000.0
Typ,324000.0
Typ,320000.0
Typ,320000.0
Typ,320000.0
Typ,320000.0
Typ,319900.0
Typ,319000.0
Typ,318061.0
Typ,318000.0
Typ,318000.0
Typ,317000.0
Min2,316600.0
Typ,315750.0
Typ,315500.0
Maj1,315000.0
Typ,315000.0
Typ,315000.0
Typ,315000.0
Typ,314813.0
Typ,313000.0
Typ,312500.0
Typ,311872.0
Typ,311500.0
Typ,310000.0
Typ,310000.0
Typ,309000.0
Typ,307000.0
Typ,306000.0
Typ,305900.0
Typ,305000.0
Typ,303477.0
Typ,302000.0
Typ,302000.0
Typ,301500.0
Typ,301000.0
Typ,299800.0
Typ,297000.0
Typ,295493.0
Typ,295000.0
Typ,294000.0
Typ,293077.0
Typ,290000.0
Typ,290000.0
Typ,290000.0
Typ,290000.0
Typ,290000.0
Typ,289000.0
Typ,287090.0
Typ,287000.0
Typ,287000.0
Typ,286000.0
Typ,285000.0
Typ,285000.0
Typ,285000.0
Typ,284000.0
Typ,284000.0
Typ,283463.0
Typ,282922.0
Typ,281213.0
Typ,281000.0
Typ,280000.0
Typ,280000.0
Typ,280000.0
Typ,280000.0
Typ,279500.0
Typ,278000.0
Typ,278000.0
Typ,277500.0
Typ,277000.0
Typ,277000.0
Typ,276000.0
Typ,275500.0
Typ,275000.0
Typ,275000.0
Typ,275000.0
Typ,275000.0
Typ,275000.0
Typ,274970.0
Typ,274900.0
Typ,274725.0
Typ,274300.0
Typ,274000.0
Typ,272000.0
Typ,272000.0
Typ,271900.0
Typ,271000.0
Typ,271000.0
Typ,270000.0
Typ,270000.0
Typ,270000.0
Typ,269790.0
Typ,269500.0
Typ,268000.0
Typ,268000.0
Typ,267000.0
Typ,266500.0
Typ,266000.0
Typ,266000.0
Typ,265979.0
Typ,265900.0
Typ,265000.0
Typ,264561.0
Typ,264132.0
Typ,263435.0
Typ,263000.0
Typ,262500.0
Typ,262500.0
Typ,262280.0
Typ,262000.0
Typ,261500.0
Typ,260400.0
Typ,260000.0
Typ,260000.0
Typ,260000.0
Typ,260000.0
Typ,260000.0
Typ,260000.0
Typ,259500.0
Typ,259000.0
Typ,258000.0
Typ,257500.0
Typ,257000.0
Typ,256300.0
Min1,256000.0
Mod,256000.0
Typ,255900.0
Typ,255500.0
Typ,255000.0
Typ,255000.0
Typ,254900.0
Typ,254000.0
Typ,253293.0
Typ,253000.0
Typ,252678.0
Typ,252000.0
Typ,251000.0
Typ,250580.0
Typ,250000.0
Typ,250000.0
Typ,250000.0
Typ,250000.0
Typ,250000.0
Typ,250000.0
Typ,250000.0
Typ,250000.0
Typ,249700.0
Typ,248900.0
Typ,248328.0
Typ,248000.0
Typ,248000.0
Typ,246578.0
Typ,245500.0
Typ,245350.0
Typ,245000.0
Typ,244600.0
Typ,244400.0
Typ,244000.0
Typ,244000.0
Typ,244000.0
Typ,243000.0
Typ,242000.0
Typ,242000.0
Typ,241500.0
Mod,241500.0
Typ,241000.0
Typ,240000.0
Typ,240000.0
Typ,240000.0
Typ,240000.0
Typ,240000.0
Typ,240000.0
Typ,239900.0
Typ,239799.0
Typ,239686.0
Typ,239500.0
Typ,239000.0
Typ,239000.0
Typ,239000.0
Typ,239000.0
Typ,239000.0
Typ,239000.0
Typ,238000.0
Typ,237500.0
Typ,237000.0
Typ,237000.0
Typ,236500.0
Typ,236500.0
Typ,236000.0
Typ,236000.0
Typ,235128.0
Typ,235000.0
Typ,235000.0
Typ,235000.0
Typ,235000.0
Typ,235000.0
Typ,235000.0
Typ,235000.0
Typ,234000.0
Typ,234000.0
Typ,233230.0
Typ,233170.0
Typ,233000.0
Typ,232600.0
Typ,232000.0
Typ,232000.0
Typ,232000.0
Typ,231500.0
Typ,231500.0
Typ,230500.0
Typ,230000.0
Typ,230000.0
Typ,230000.0
Typ,230000.0
Typ,230000.0
Typ,230000.0
Typ,230000.0
Typ,230000.0
Typ,229456.0
Typ,229000.0
Typ,228950.0
Typ,228500.0
Typ,228500.0
Typ,228000.0
Typ,228000.0
Typ,227875.0
Typ,227680.0
Typ,227000.0
Typ,227000.0
Typ,227000.0
Typ,226700.0
Typ,226000.0
Typ,226000.0
Typ,226000.0
Typ,225000.0
Typ,225000.0
Typ,225000.0
Typ,225000.0
Typ,225000.0
Typ,225000.0
Typ,224900.0
Typ,224900.0
Typ,224500.0
Typ,224000.0
Typ,224000.0
Typ,223500.0
Typ,223500.0
Typ,223000.0
Typ,222500.0
Typ,222500.0
Typ,222000.0
Typ,222000.0
Typ,222000.0
Typ,221500.0
Typ,221000.0
Typ,221000.0
Typ,220000.0
Typ,220000.0
Typ,220000.0
Typ,220000.0
Typ,220000.0
Typ,219500.0
Typ,219500.0
Typ,219500.0
Typ,219210.0
Typ,218000.0
Typ,217500.0
Typ,217000.0
Typ,217000.0
Typ,216837.0
Typ,216500.0
Typ,216000.0
Typ,215200.0
Typ,215000.0
Typ,215000.0
Typ,215000.0
Typ,215000.0
Typ,215000.0
Typ,215000.0
Typ,215000.0
Typ,215000.0
Typ,214900.0
Typ,214500.0
Typ,214000.0
Typ,214000.0
Typ,214000.0
Typ,214000.0
Typ,214000.0
Typ,213500.0
Typ,213500.0
Typ,213490.0
Maj1,213250.0
Typ,213000.0
Typ,213000.0
Typ,213000.0
Typ,212900.0
Typ,212000.0
Typ,212000.0
Typ,212000.0
Typ,211000.0
Typ,211000.0
Typ,210000.0
Typ,210000.0
Typ,210000.0
Typ,210000.0
Min1,210000.0
Typ,209500.0
Typ,208900.0
Typ,208900.0
Typ,208500.0
Typ,208300.0
Typ,207500.0
Typ,207500.0
Typ,207500.0
Min1,207500.0
Typ,207500.0
Typ,207000.0
Typ,207000.0
Typ,206900.0
Typ,206300.0
Typ,206000.0
Typ,205950.0
Typ,205000.0
Typ,205000.0
Typ,205000.0
Typ,205000.0
Typ,205000.0
Typ,205000.0
Typ,204900.0
Typ,204750.0
Typ,204000.0
Typ,204000.0
Typ,203000.0
Typ,203000.0
Typ,202900.0
