SalePrice,SalePrice
755000,755000.0
745000,745000.0
625000,625000.0
611657,611657.0
582933,582933.0
556581,556581.0
555000,555000.0
538000,538000.0
501837,501837.0
485000,485000.0
475000,475000.0
466500,466500.0
465000,465000.0
451950,451950.0
446261,446261.0
440000,440000.0
438780,438780.0
437154,437154.0
430000,430000.0
426000,426000.0
424870,424870.0
423000,423000.0
415298,415298.0
412500,412500.0
410000,410000.0
403000,403000.0
402861,402861.0
402000,402000.0
395192,395192.0
395000,395000.0
394617,394617.0
394432,394432.0
392500,392500.0
392000,392000.0
386250,386250.0
385000,385000.0
385000,385000.0
383970,383970.0
381000,381000.0
380000,380000.0
378500,378500.0
377500,377500.0
377426,377426.0
375000,375000.0
374000,374000.0
372500,372500.0
372402,372402.0
370878,370878.0
369900,369900.0
367294,367294.0
361919,361919.0
360000,360000.0
359100,359100.0
354000,354000.0
350000,350000.0
350000,350000.0
348000,348000.0
345000,345000.0
345000,345000.0
342643,342643.0
341000,341000.0
340000,340000.0
340000,340000.0
339750,339750.0
337500,337500.0
337000,337000.0
336000,336000.0
335000,335000.0
335000,335000.0
335000,335000.0
333168,333168.0
328900,328900.0
328000,328000.0
326000,326000.0
325624,325624.0
325300,325300.0
325000,325000.0
325000,325000.0
325000,325000.0
325000,325000.0
324000,324000.0
320000,320000.0
320000,320000.0
320000,320000.0
320000,320000.0
319900,319900.0
319000,319000.0
318061,318061.0
318000,318000.0
318000,318000.0
317000,317000.0
316600,316600.0
315750,315750.0
315500,315500.0
315000,315000.0
315000,315000.0
315000,315000.0
315000,315000.0
314813,314813.0
313000,313000.0
312500,312500.0
311872,311872.0
311500,311500.0
310000,310000.0
310000,310000.0
309000,309000.0
307000,307000.0
306000,306000.0
305900,305900.0
305000,305000.0
303477,303477.0
302000,302000.0
302000,302000.0
301500,301500.0
301000,301000.0
299800,299800.0
297000,297000.0
295493,295493.0
295000,295000.0
294000,294000.0
293077,293077.0
290000,290000.0
290000,290000.0
290000,290000.0
290000,290000.0
290000,290000.0
289000,289000.0
287090,287090.0
287000,287000.0
287000,287000.0
286000,286000.0
285000,285000.0
285000,285000.0
285000,285000.0
284000,284000.0
284000,284000.0
283463,283463.0
282922,282922.0
281213,281213.0
281000,281000.0
280000,280000.0
280000,280000.0
280000,280000.0
280000,280000.0
279500,279500.0
278000,278000.0
278000,278000.0
277500,277500.0
277000,277000.0
277000,277000.0
276000,276000.0
275500,275500.0
275000,275000.0
275000,275000.0
275000,275000.0
275000,275000.0
275000,275000.0
274970,274970.0
274900,274900.0
274725,274725.0
274300,274300.0
274000,274000.0
272000,272000.0
272000,272000.0
271900,271900.0
271000,271000.0
271000,271000.0
270000,270000.0
270000,270000.0
270000,270000.0
269790,269790.0
269500,269500.0
268000,268000.0
268000,268000.0
267000,267000.0
266500,266500.0
266000,266000.0
266000,266000.0
265979,265979.0
265900,265900.0
265000,265000.0
264561,264561.0
264132,264132.0
263435,263435.0
263000,263000.0
262500,262500.0
262500,262500.0
262280,262280.0
262000,262000.0
261500,261500.0
260400,260400.0
260000,260000.0
260000,260000.0
260000,260000.0
260000,260000.0
260000,260000.0
260000,260000.0
259500,259500.0
259000,259000.0
258000,258000.0
257500,257500.0
257000,257000.0
256300,256300.0
256000,256000.0
256000,256000.0
255900,255900.0
255500,255500.0
255000,255000.0
255000,255000.0
254900,254900.0
254000,254000.0
253293,253293.0
253000,253000.0
252678,252678.0
252000,252000.0
251000,251000.0
250580,250580.0
250000,250000.0
250000,250000.0
250000,250000.0
250000,250000.0
250000,250000.0
250000,250000.0
250000,250000.0
250000,250000.0
249700,249700.0
248900,248900.0
248328,248328.0
248000,248000.0
248000,248000.0
246578,246578.0
245500,245500.0
245350,245350.0
245000,245000.0
244600,244600.0
244400,244400.0
244000,244000.0
244000,244000.0
244000,244000.0
243000,243000.0
242000,242000.0
242000,242000.0
241500,241500.0
241500,241500.0
241000,241000.0
240000,240000.0
240000,240000.0
240000,240000.0
240000,240000.0
240000,240000.0
240000,240000.0
239900,239900.0
239799,239799.0
239686,239686.0
239500,239500.0
239000,239000.0
239000,239000.0
239000,239000.0
239000,239000.0
239000,239000.0
239000,239000.0
238000,238000.0
237500,237500.0
237000,237000.0
237000,237000.0
236500,236500.0
236500,236500.0
236000,236000.0
236000,236000.0
235128,235128.0
235000,235000.0
235000,235000.0
235000,235000.0
235000,235000.0
235000,235000.0
235000,235000.0
235000,235000.0
234000,234000.0
234000,234000.0
233230,233230.0
233170,233170.0
233000,233000.0
232600,232600.0
232000,232000.0
232000,232000.0
232000,232000.0
231500,231500.0
231500,231500.0
230500,230500.0
230000,230000.0
230000,230000.0
230000,230000.0
230000,230000.0
230000,230000.0
230000,230000.0
230000,230000.0
230000,230000.0
229456,229456.0
229000,229000.0
228950,228950.0
228500,228500.0
228500,228500.0
228000,228000.0
228000,228000.0
227875,227875.0
227680,227680.0
227000,227000.0
227000,227000.0
227000,227000.0
226700,226700.0
226000,226000.0
226000,226000.0
226000,226000.0
225000,225000.0
225000,225000.0
225000,225000.0
225000,225000.0
225000,225000.0
225000,225000.0
224900,224900.0
224900,224900.0
224500,224500.0
224000,224000.0
224000,224000.0
223500,223500.0
223500,223500.0
223000,223000.0
222500,222500.0
222500,222500.0
222000,222000.0
222000,222000.0
222000,222000.0
221500,221500.0
221000,221000.0
221000,221000.0
220000,220000.0
220000,220000.0
220000,220000.0
220000,220000.0
220000,220000.0
219500,219500.0
219500,219500.0
219500,219500.0
219210,219210.0
218000,218000.0
217500,217500.0
217000,217000.0
217000,217000.0
216837,216837.0
216500,216500.0
216000,216000.0
215200,215200.0
215000,215000.0
215000,215000.0
215000,215000.0
215000,215000.0
215000,215000.0
215000,215000.0
215000,215000.0
215000,215000.0
214900,214900.0
214500,214500.0
214000,214000.0
214000,214000.0
214000,214000.0
214000,214000.0
214000,214000.0
213500,213500.0
213500,213500.0
213490,213490.0
213250,213250.0
213000,213000.0
213000,213000.0
213000,213000.0
212900,212900.0
212000,212000.0
212000,212000.0
212000,212000.0
211000,211000.0
211000,211000.0
210000,210000.0
210000,210000.0
210000,210000.0
210000,210000.0
210000,210000.0
209500,209500.0
208900,208900.0
208900,208900.0
208500,208500.0
208300,208300.0
207500,207500.0
207500,207500.0
207500,207500.0
207500,207500.0
207500,207500.0
207000,207000.0
207000,207000.0
206900,206900.0
206300,206300.0
206000,206000.0
205950,205950.0
205000,205000.0
205000,205000.0
205000,205000.0
205000,205000.0
205000,205000.0
205000,205000.0
204900,204900.0
204750,204750.0
204000,204000.0
204000,204000.0
203000,203000.0
203000,203000.0
202900,202900.0
202665,202665.0
202500,202500.0
202500,202500.0
202500,202500.0
201800,201800.0
201000,201000.0
201000,201000.0
201000,201000.0
200624,200624.0
200500,200500.0
200500,200500.0
200141,200141.0
200100,200100.0
200000,200000.0
200000,200000.0
200000,200000.0
200000,200000.0
200000,200000.0
200000,200000.0
200000,200000.0
200000,200000.0
199900,199900.0
199900,199900.0
198900,198900.0
198500,198500.0
197900,197900.0
197900,197900.0
197900,197900.0
197500,197500.0
197500,197500.0
197000,197000.0
197000,197000.0
197000,197000.0
