MiscFeature,SalePrice
NA,755000.0
NA,745000.0
NA,625000.0
NA,611657.0
NA,582933.0
NA,556581.0
NA,555000.0
NA,538000.0
NA,501837.0
NA,485000.0
NA,475000.0
NA,466500.0
NA,465000.0
NA,451950.0
NA,446261.0
NA,440000.0
NA,438780.0
NA,437154.0
NA,430000.0
NA,426000.0
NA,424870.0
NA,423000.0
NA,415298.0
NA,412500.0
NA,410000.0
NA,403000.0
NA,402861.0
NA,402000.0
NA,395192.0
NA,395000.0
NA,394617.0
NA,394432.0
NA,392500.0
NA,392000.0
NA,386250.0
NA,385000.0
NA,385000.0
NA,383970.0
NA,381000.0
NA,380000.0
NA,378500.0
NA,377500.0
NA,377426.0
NA,375000.0
NA,374000.0
NA,372500.0
NA,372402.0
NA,370878.0
NA,369900.0
NA,367294.0
NA,361919.0
NA,360000.0
NA,359100.0
NA,354000.0
NA,350000.0
NA,350000.0
NA,348000.0
NA,345000.0
NA,345000.0
NA,342643.0
NA,341000.0
NA,340000.0
NA,340000.0
NA,339750.0
NA,337500.0
NA,337000.0
NA,336000.0
NA,335000.0
NA,335000.0
NA,335000.0
NA,333168.0
NA,328900.0
NA,328000.0
NA,326000.0
NA,325624.0
NA,325300.0
NA,325000.0
NA,325000.0
NA,325000.0
NA,325000.0
NA,324000.0
NA,320000.0
NA,320000.0
NA,320000.0
NA,320000.0
NA,319900.0
NA,319000.0
NA,318061.0
NA,318000.0
NA,318000.0
NA,317000.0
NA,316600.0
NA,315750.0
NA,315500.0
NA,315000.0
NA,315000.0
NA,315000.0
NA,315000.0
NA,314813.0
NA,313000.0
NA,312500.0
NA,311872.0
NA,311500.0
NA,310000.0
NA,310000.0
NA,309000.0
NA,307000.0
NA,306000.0
NA,305900.0
NA,305000.0
NA,303477.0
NA,302000.0
NA,302000.0
NA,301500.0
NA,301000.0
NA,299800.0
NA,297000.0
NA,295493.0
NA,295000.0
NA,294000.0
NA,293077.0
NA,290000.0
NA,290000.0
NA,290000.0
NA,290000.0
NA,290000.0
NA,289000.0
NA,287090.0
NA,287000.0
NA,287000.0
NA,286000.0
NA,285000.0
NA,285000.0
NA,285000.0
NA,284000.0
NA,284000.0
NA,283463.0
NA,282922.0
NA,281213.0
NA,281000.0
NA,280000.0
NA,280000.0
NA,280000.0
NA,280000.0
NA,279500.0
NA,278000.0
NA,278000.0
NA,277500.0
NA,277000.0
Shed,277000.0
NA,276000.0
NA,275500.0
NA,275000.0
NA,275000.0
NA,275000.0
NA,275000.0
NA,275000.0
NA,274970.0
NA,274900.0
NA,274725.0
NA,274300.0
NA,274000.0
Shed,272000.0
NA,272000.0
NA,271900.0
NA,271000.0
NA,271000.0
NA,270000.0
NA,270000.0
NA,270000.0
NA,269790.0
NA,269500.0
NA,268000.0
NA,268000.0
NA,267000.0
Shed,266500.0
NA,266000.0
NA,266000.0
NA,265979.0
NA,265900.0
NA,265000.0
NA,264561.0
NA,264132.0
NA,263435.0
NA,263000.0
NA,262500.0
NA,262500.0
NA,262280.0
NA,262000.0
NA,261500.0
NA,260400.0
NA,260000.0
NA,260000.0
NA,260000.0
NA,260000.0
NA,260000.0
NA,260000.0
NA,259500.0
NA,259000.0
NA,258000.0
NA,257500.0
NA,257000.0
NA,256300.0
NA,256000.0
Shed,256000.0
NA,255900.0
NA,255500.0
NA,255000.0
NA,255000.0
NA,254900.0
NA,254000.0
NA,253293.0
NA,253000.0
NA,252678.0
NA,252000.0
NA,251000.0
NA,250580.0
NA,250000.0
NA,250000.0
NA,250000.0
NA,250000.0
NA,250000.0
NA,250000.0
NA,250000.0
TenC,250000.0
NA,249700.0
NA,248900.0
NA,248328.0
NA,248000.0
NA,248000.0
NA,246578.0
NA,245500.0
NA,245350.0
NA,245000.0
NA,244600.0
NA,244400.0
NA,244000.0
NA,244000.0
NA,244000.0
NA,243000.0
NA,242000.0
NA,242000.0
NA,241500.0
NA,241500.0
NA,241000.0
NA,240000.0
NA,240000.0
NA,240000.0
NA,240000.0
NA,240000.0
NA,240000.0
NA,239900.0
NA,239799.0
NA,239686.0
NA,239500.0
NA,239000.0
NA,239000.0
NA,239000.0
NA,239000.0
NA,239000.0
NA,239000.0
NA,238000.0
NA,237500.0
NA,237000.0
NA,237000.0
NA,236500.0
NA,236500.0
NA,236000.0
NA,236000.0
NA,235128.0
NA,235000.0
NA,235000.0
NA,235000.0
NA,235000.0
NA,235000.0
NA,235000.0
NA,235000.0
NA,234000.0
NA,234000.0
NA,233230.0
NA,233170.0
NA,233000.0
NA,232600.0
NA,232000.0
NA,232000.0
NA,232000.0
NA,231500.0
NA,231500.0
NA,230500.0
NA,230000.0
NA,230000.0
NA,230000.0
NA,230000.0
NA,230000.0
NA,230000.0
NA,230000.0
NA,230000.0
NA,229456.0
NA,229000.0
Shed,228950.0
NA,228500.0
NA,228500.0
NA,228000.0
NA,228000.0
NA,227875.0
NA,227680.0
NA,227000.0
NA,227000.0
NA,227000.0
NA,226700.0
NA,226000.0
NA,226000.0
NA,226000.0
NA,225000.0
NA,225000.0
NA,225000.0
NA,225000.0
NA,225000.0
NA,225000.0
NA,224900.0
NA,224900.0
NA,224500.0
NA,224000.0
NA,224000.0
NA,223500.0
NA,223500.0
NA,223000.0
NA,222500.0
NA,222500.0
NA,222000.0
NA,222000.0
NA,222000.0
NA,221500.0
NA,221000.0
NA,221000.0
NA,220000.0
NA,220000.0
NA,220000.0
NA,220000.0
NA,220000.0
NA,219500.0
NA,219500.0
NA,219500.0
NA,219210.0
NA,218000.0
NA,217500.0
NA,217000.0
NA,217000.0
NA,216837.0
NA,216500.0
NA,216000.0
NA,215200.0
NA,215000.0
NA,215000.0
NA,215000.0
NA,215000.0
NA,215000.0
NA,215000.0
NA,215000.0
NA,215000.0
NA,214900.0
NA,214500.0
NA,214000.0
NA,214000.0
NA,214000.0
NA,214000.0
NA,214000.0
NA,213500.0
NA,213500.0
NA,213490.0
NA,213250.0
NA,213000.0
NA,213000.0
NA,213000.0
NA,212900.0
NA,212000.0
NA,212000.0
NA,212000.0
NA,211000.0
NA,211000.0
NA,210000.0
NA,210000.0
NA,210000.0
NA,210000.0
NA,210000.0
NA,209500.0
NA,208900.0
NA,208900.0
NA,208500.0
NA,208300.0
NA,207500.0
NA,207500.0
NA,207500.0
NA,207500.0
NA,207500.0
NA,207000.0
NA,207000.0
NA,206900.0
NA,206300.0
NA,206000.0
NA,205950.0
NA,205000.0
NA,205000.0
NA,205000.0
NA,205000.0
NA,205000.0
NA,205000.0
NA,204900.0
NA,204750.0
NA,204000.0
NA,204000.0
NA,203000.0
NA,203000.0
NA,202900.0
NA,202665.0
NA,202500.0
Shed,202500.0
NA,202500.0
NA,201800.0
NA,201000.0
NA,201000.0
NA,201000.0
NA,200624.0
NA,200500.0
NA,200500.0
NA,200141.0
NA,200100.0
Shed,200000.0
NA,200000.0
NA,200000.0
NA,200000.0
Shed,200000.0
NA,200000.0
NA,200000.0
NA,200000.0
NA,199900.0
NA,199900.0
NA,198900.0
NA,198500.0
NA,197900.0
NA,197900.0
NA,197900.0
NA,197500.0
NA,197500.0
NA,197000.0
NA,197000.0
NA,197000.0
NA,197000.0
NA,196500.0
Shed,196500.0
NA,196000.0
NA,196000.0
NA,196000.0
NA,195400.0
NA,195000.0
NA,195000.0
NA,195000.0
NA,194700.0
NA,194500.0
NA,194500.0
Shed,194500.0
NA,194201.0
NA,194000.0
NA,194000.0
NA,194000.0
NA,193879.0
NA,193500.0
NA,193500.0
NA,193000.0
NA,193000.0
NA,193000.0
NA,192500.0
NA,192500.0
NA,192140.0
NA,192000.0
NA,192000.0
NA,192000.0
NA,192000.0
NA,192000.0
NA,191000.0
NA,191000.0
NA,191000.0
NA,191000.0
NA,190000.0
NA,190000.0
NA,190000.0
NA,190000.0
NA,190000.0
NA,190000.0
NA,190000.0
NA,190000.0
NA,190000.0
Gar2,190000.0
NA,190000.0
NA,190000.0
NA,190000.0
NA,189950.0
NA,189000.0
NA,189000.0
NA,189000.0
NA,189000.0
Shed,189000.0
NA,189000.0
NA,188700.0
NA,188500.0
NA,188000.0
NA,188000.0
NA,188000.0
NA,187750.0
NA,187500.0
NA,187500.0
NA,187500.0
NA,187500.0
NA,187500.0
NA,187500.0
NA,187100.0
NA,187000.0
NA,187000.0
NA,187000.0
NA,186700.0
NA,186500.0
NA,186500.0
NA,186000.0
NA,185900.0
NA,185850.0
NA,185750.0
NA,185500.0
NA,185000.0
Shed,185000.0
NA,185000.0
NA,185000.0
NA,185000.0
NA,185000.0
NA,185000.0
NA,185000.0
NA,185000.0
NA,185000.0
NA,184900.0
NA,184750.0
NA,184100.0
NA,184000.0
NA,184000.0
NA,184000.0
NA,184000.0
NA,183900.0
NA,183500.0
NA,183200.0
NA,183000.0
NA,182900.0
NA,182000.0
NA,181900.0
NA,181500.0
NA,181134.0
NA,181000.0
NA,181000.0
NA,181000.0
NA,181000.0
NA,181000.0
NA,181000.0
NA,181000.0
NA,180500.0
NA,180500.0
NA,180500.0
NA,180500.0
NA,180000.0
NA,180000.0
NA,180000.0
NA,180000.0
NA,180000.0
NA,180000.0
NA,180000.0
NA,180000.0
NA,180000.0
NA,180000.0
NA,179900.0
NA,179900.0
NA,179900.0
NA,179900.0
NA,179900.0
NA,179665.0
NA,179600.0
NA,179540.0
NA,179500.0
NA,179400.0
NA,179200.0
NA,179200.0
NA,179000.0
NA,179000.0
NA,179000.0
NA,178900.0
NA,178740.0
NA,178400.0
NA,178000.0
NA,178000.0
NA,178000.0
NA,178000.0
NA,178000.0
NA,178000.0
NA,178000.0
NA,177500.0
NA,177500.0
NA,177500.0
NA,177000.0
NA,177000.0
NA,177000.0
NA,177000.0
NA,177000.0
NA,176500.0
NA,176500.0
NA,176485.0
NA,176432.0
NA,176000.0
NA,176000.0
NA,176000.0
NA,176000.0
NA,176000.0
NA,176000.0
NA,176000.0
NA,176000.0
NA,175900.0
NA,175900.0
NA,175500.0
NA,175500.0
NA,175500.0
NA,175000.0
NA,175000.0
NA,175000.0
NA,175000.0
NA,175000.0
NA,175000.0
NA,175000.0
NA,175000.0
NA,175000.0
NA,174900.0
NA,174500.0
NA,174000.0
NA,174000.0
NA,174000.0
NA,174000.0
NA,174000.0
NA,174000.0
NA,174000.0
NA,173900.0
NA,173733.0
NA,173500.0
NA,173000.0
NA,173000.0
NA,173000.0
NA,173000.0
NA,173000.0
NA,173000.0
NA,173000.0
NA,172785.0
NA,172500.0
NA,172500.0
NA,172500.0
NA,172500.0
NA,172500.0
NA,172400.0
Shed,172000.0
NA,171900.0
NA,171750.0
NA,171500.0
NA,171000.0
NA,171000.0
NA,171000.0
NA,171000.0
NA,171000.0
NA,170000.0
NA,170000.0
NA,170000.0
NA,170000.0
Shed,170000.0
NA,170000.0
NA,170000.0
NA,170000.0
NA,169990.0
NA,169900.0
NA,169500.0
NA,169500.0
NA,169000.0
NA,169000.0
NA,169000.0
Shed,168500.0
NA,168500.0
NA,168500.0
NA,168000.0
NA,168000.0
NA,168000.0
NA,168000.0
NA,167900.0
NA,167900.0
NA,167500.0
NA,167500.0
NA,167500.0
NA,167240.0
NA,167000.0
NA,167000.0
NA,167000.0
NA,167000.0
NA,166000.0
NA,166000.0
NA,165600.0
NA,165500.0
NA,165500.0
NA,165500.0
NA,165400.0
NA,165150.0
NA,165000.0
NA,165000.0
NA,165000.0
NA,165000.0
NA,165000.0
NA,165000.0
NA,165000.0
NA,165000.0
NA,164990.0
Shed,164900.0
NA,164700.0
NA,164500.0
NA,164500.0
NA,164000.0
NA,164000.0
NA,164000.0
NA,163990.0
NA,163900.0
NA,163500.0
NA,163500.0
NA,163000.0
NA,163000.0
Shed,163000.0
NA,163000.0
NA,162900.0
NA,162900.0
NA,162500.0
NA,162000.0
NA,162000.0
NA,162000.0
NA,162000.0
Shed,161750.0
NA,161500.0
NA,161500.0
NA,161000.0
NA,161000.0
NA,160200.0
NA,160000.0
NA,160000.0
NA,160000.0
Shed,160000.0
NA,160000.0
NA,160000.0
NA,160000.0
Shed,160000.0
NA,160000.0
NA,160000.0
NA,160000.0
NA,160000.0
NA,159950.0
NA,159895.0
NA,159500.0
NA,159500.0
NA,159500.0
NA,159434.0
NA,159000.0
NA,159000.0
NA,159000.0
NA,159000.0
NA,158900.0
NA,158500.0
NA,158000.0
NA,158000.0
NA,158000.0
NA,158000.0
NA,158000.0
NA,158000.0
Shed,157900.0
NA,157900.0
NA,157500.0
NA,157500.0
NA,157000.0
NA,157000.0
NA,157000.0
NA,157000.0
NA,157000.0
NA,157000.0
NA,156932.0
NA,156500.0
NA,156000.0
NA,156000.0
NA,156000.0
NA,156000.0
NA,155900.0
NA,155835.0
NA,155000.0
NA,155000.0
NA,155000.0
NA,155000.0
NA,155000.0
NA,155000.0
NA,155000.0
NA,155000.0
NA,155000.0
NA,155000.0
NA,155000.0
NA,155000.0
NA,155000.0
NA,155000.0
NA,154900.0
NA,154500.0
NA,154300.0
NA,154000.0
NA,154000.0
NA,154000.0
NA,154000.0
NA,154000.0
NA,153900.0
NA,153900.0
NA,153575.0
NA,153500.0
NA,153500.0
NA,153500.0
NA,153337.0
NA,153000.0
NA,153000.0
NA,153000.0
NA,152000.0
NA,152000.0
NA,152000.0
NA,152000.0
NA,152000.0
NA,152000.0
Gar2,151500.0
NA,151400.0
NA,151000.0
NA,151000.0
NA,151000.0
NA,151000.0
NA,151000.0
NA,150900.0
NA,150750.0
NA,150500.0
NA,150000.0
NA,150000.0
NA,150000.0
NA,150000.0
NA,149900.0
NA,149900.0
NA,149900.0
NA,149900.0
NA,149700.0
NA,149500.0
NA,149500.0
NA,149350.0
NA,149300.0
Shed,149000.0
NA,149000.0
NA,149000.0
NA,149000.0
NA,148800.0
NA,148500.0
NA,148500.0
NA,148500.0
NA,148000.0
NA,148000.0
NA,148000.0
NA,148000.0
Shed,148000.0
Shed,148000.0
NA,148000.0
NA,147500.0
