Condition1,SalePrice
Norm,755000.0
Norm,745000.0
Norm,625000.0
Norm,611657.0
Norm,582933.0
Norm,556581.0
Norm,555000.0
Norm,538000.0
Norm,501837.0
Norm,485000.0
Artery,475000.0
Norm,466500.0
Norm,465000.0
Norm,451950.0
Norm,446261.0
Norm,440000.0
Norm,438780.0
Norm,437154.0
Norm,430000.0
Norm,426000.0
Norm,424870.0
RRAn,423000.0
Norm,415298.0
Norm,412500.0
Norm,410000.0
Norm,403000.0
Norm,402861.0
Norm,402000.0
Norm,395192.0
Norm,395000.0
Norm,394617.0
Norm,394432.0
Norm,392500.0
Norm,392000.0
Norm,386250.0
Norm,385000.0
PosN,385000.0
Norm,383970.0
Norm,381000.0
Norm,380000.0
Norm,378500.0
Norm,377500.0
Norm,377426.0
Norm,375000.0
Norm,374000.0
Norm,372500.0
Norm,372402.0
Norm,370878.0
Norm,369900.0
Norm,367294.0
Norm,361919.0
Norm,360000.0
Norm,359100.0
Norm,354000.0
Norm,350000.0
Norm,350000.0
Norm,348000.0
Norm,345000.0
Norm,345000.0
Norm,342643.0
Norm,341000.0
Norm,340000.0
Norm,340000.0
Norm,339750.0
Norm,337500.0
Norm,337000.0
Norm,336000.0
Norm,335000.0
Norm,335000.0
PosA,335000.0
Norm,333168.0
Norm,328900.0
Norm,328000.0
Norm,326000.0
Norm,325624.0
Norm,325300.0
Norm,325000.0
Artery,325000.0
Norm,325000.0
Norm,325000.0
Norm,324000.0
Norm,320000.0
Norm,320000.0
Norm,320000.0
RRNn,320000.0
Norm,319900.0
Norm,319000.0
Norm,318061.0
Norm,318000.0
Norm,318000.0
Norm,317000.0
Norm,316600.0
Norm,315750.0
Norm,315500.0
Norm,315000.0
Norm,315000.0
Norm,315000.0
Norm,315000.0
Norm,314813.0
PosN,313000.0
Norm,312500.0
Norm,311872.0
Norm,311500.0
Norm,310000.0
Norm,310000.0
Norm,309000.0
Norm,307000.0
Norm,306000.0
Norm,305900.0
Norm,305000.0
Norm,303477.0
Norm,302000.0
Norm,302000.0
Norm,301500.0
Norm,301000.0
Norm,299800.0
Norm,297000.0
Norm,295493.0
Norm,295000.0
Norm,294000.0
Norm,293077.0
