LandSlope,SalePrice
Gtl,755000.0
Gtl,745000.0
Gtl,625000.0
Gtl,611657.0
Gtl,582933.0
Gtl,556581.0
Gtl,555000.0
Mod,538000.0
Gtl,501837.0
Gtl,485000.0
Gtl,475000.0
Gtl,466500.0
Gtl,465000.0
Gtl,451950.0
Gtl,446261.0
Gtl,440000.0
Gtl,438780.0
Gtl,437154.0
Gtl,430000.0
Gtl,426000.0
Gtl,424870.0
Gtl,423000.0
Gtl,415298.0
Gtl,412500.0
Gtl,410000.0
Gtl,403000.0
Gtl,402861.0
Gtl,402000.0
Gtl,395192.0
Gtl,395000.0
Gtl,394617.0
Gtl,394432.0
Mod,392500.0
Gtl,392000.0
Gtl,386250.0
Gtl,385000.0
Gtl,385000.0
Gtl,383970.0
Mod,381000.0
Gtl,380000.0
Gtl,378500.0
Gtl,377500.0
Gtl,377426.0
Sev,375000.0
Gtl,374000.0
Gtl,372500.0
Gtl,372402.0
Gtl,370878.0
Gtl,369900.0
Gtl,367294.0
Gtl,361919.0
Gtl,360000.0
Mod,359100.0
Gtl,354000.0
Gtl,350000.0
Gtl,350000.0
Gtl,348000.0
Gtl,345000.0
Gtl,345000.0
Gtl,342643.0
Gtl,341000.0
Gtl,340000.0
Gtl,340000.0
Gtl,339750.0
Gtl,337500.0
Gtl,337000.0
Gtl,336000.0
Mod,335000.0
Gtl,335000.0
Gtl,335000.0
Gtl,333168.0
Gtl,328900.0
Mod,328000.0
Gtl,326000.0
Gtl,325624.0
Gtl,325300.0
Gtl,325000.0
Gtl,325000.0
Gtl,325000.0
Gtl,325000.0
Gtl,324000.0
Gtl,320000.0
Gtl,320000.0
Gtl,320000.0
Gtl,320000.0
Gtl,319900.0
Gtl,319000.0
Gtl,318061.0
Gtl,318000.0
Gtl,318000.0
Gtl,317000.0
Mod,316600.0
Gtl,315750.0
Gtl,315500.0
Mod,315000.0
Gtl,315000.0
Gtl,315000.0
Gtl,315000.0
Gtl,314813.0
Gtl,313000.0
Gtl,312500.0
Gtl,311872.0
Gtl,311500.0
Gtl,310000.0
Gtl,310000.0
Gtl,309000.0
Gtl,307000.0
Gtl,306000.0
Gtl,305900.0
Gtl,305000.0
Gtl,303477.0
Sev,302000.0
Gtl,302000.0
Gtl,301500.0
Gtl,301000.0
Gtl,299800.0
Gtl,297000.0
Gtl,295493.0
Gtl,295000.0
Gtl,294000.0
Gtl,293077.0
Gtl,290000.0
Gtl,290000.0
Gtl,290000.0
Gtl,290000.0
Gtl,290000.0
Gtl,289000.0
Gtl,287090.0
Gtl,287000.0
Gtl,287000.0
Gtl,286000.0
Gtl,285000.0
Gtl,285000.0
Gtl,285000.0
Gtl,284000.0
Gtl,284000.0
Gtl,283463.0
Gtl,282922.0
Gtl,281213.0
Gtl,281000.0
Gtl,280000.0
Gtl,280000.0
Mod,280000.0
Gtl,280000.0
Gtl,279500.0
Gtl,278000.0
Gtl,278000.0
Gtl,277500.0
Mod,277000.0
Sev,277000.0
Gtl,276000.0
Gtl,275500.0
Mod,275000.0
Gtl,275000.0
Mod,275000.0
Gtl,275000.0
Mod,275000.0
Gtl,274970.0
Gtl,274900.0
Gtl,274725.0
Gtl,274300.0
Gtl,274000.0
Gtl,272000.0
Gtl,272000.0
Gtl,271900.0
Gtl,271000.0
Gtl,271000.0
Gtl,270000.0
Gtl,270000.0
Gtl,270000.0
Gtl,269790.0
Gtl,269500.0
Gtl,268000.0
Mod,268000.0
Gtl,267000.0
Gtl,266500.0
Gtl,266000.0
Gtl,266000.0
Gtl,265979.0
Gtl,265900.0
Gtl,265000.0
Gtl,264561.0
Gtl,264132.0
Gtl,263435.0
Gtl,263000.0
Gtl,262500.0
Gtl,262500.0
Gtl,262280.0
Gtl,262000.0
Gtl,261500.0
Gtl,260400.0
Gtl,260000.0
Gtl,260000.0
Gtl,260000.0
