LandContour,SalePrice
Lvl,755000.0
Lvl,745000.0
Lvl,625000.0
Lvl,611657.0
Lvl,582933.0
Lvl,556581.0
Lvl,555000.0
HLS,538000.0
Lvl,501837.0
Lvl,485000.0
Lvl,475000.0
Lvl,466500.0
Lvl,465000.0
Lvl,451950.0
Lvl,446261.0
Lvl,440000.0
HLS,438780.0
Lvl,437154.0
Lvl,430000.0
Lvl,426000.0
Lvl,424870.0
Lvl,423000.0
Lvl,415298.0
Lvl,412500.0
Lvl,410000.0
Lvl,403000.0
Lvl,402861.0
Lvl,402000.0
Lvl,395192.0
Lvl,395000.0
Lvl,394617.0
Lvl,394432.0
HLS,392500.0
HLS,392000.0
Lvl,386250.0
Low,385000.0
Lvl,385000.0
Lvl,383970.0
Lvl,381000.0
Lvl,380000.0
HLS,378500.0
HLS,377500.0
HLS,377426.0
Low,375000.0
HLS,374000.0
Lvl,372500.0
Lvl,372402.0
Lvl,370878.0
Lvl,369900.0
Lvl,367294.0
Lvl,361919.0
Lvl,360000.0
HLS,359100.0
Lvl,354000.0
Lvl,350000.0
Lvl,350000.0
Lvl,348000.0
Lvl,345000.0
Lvl,345000.0
Lvl,342643.0
Lvl,341000.0
Lvl,340000.0
Lvl,340000.0
Lvl,339750.0
Lvl,337500.0
Lvl,337000.0
Lvl,336000.0
Lvl,335000.0
Lvl,335000.0
Lvl,335000.0
Lvl,333168.0
Lvl,328900.0
Lvl,328000.0
Lvl,326000.0
Lvl,325624.0
Lvl,325300.0
Lvl,325000.0
Lvl,325000.0
Lvl,325000.0
Lvl,325000.0
Lvl,324000.0
Lvl,320000.0
HLS,320000.0
Lvl,320000.0
Lvl,320000.0
Lvl,319900.0
Lvl,319000.0
Lvl,318061.0
Lvl,318000.0
Lvl,318000.0
Lvl,317000.0
Low,316600.0
Lvl,315750.0
HLS,315500.0
Bnk,315000.0
Lvl,315000.0
Lvl,315000.0
Lvl,315000.0
Lvl,314813.0
Lvl,313000.0
Lvl,312500.0
Lvl,311872.0
Lvl,311500.0
Lvl,310000.0
Lvl,310000.0
Lvl,309000.0
Lvl,307000.0
Lvl,306000.0
Lvl,305900.0
Lvl,305000.0
Lvl,303477.0
Low,302000.0
Lvl,302000.0
Lvl,301500.0
Lvl,301000.0
Lvl,299800.0
Lvl,297000.0
Lvl,295493.0
Lvl,295000.0
Lvl,294000.0
HLS,293077.0
Lvl,290000.0
Lvl,290000.0
Lvl,290000.0
Lvl,290000.0
Lvl,290000.0
Lvl,289000.0
Lvl,287090.0
Lvl,287000.0
Lvl,287000.0
Lvl,286000.0
