OverallCond,SalePrice
6,755000.0
5,745000.0
5,625000.0
5,611657.0
5,582933.0
5,556581.0
5,555000.0
5,538000.0
5,501837.0
5,485000.0
9,475000.0
5,466500.0
5,465000.0
5,451950.0
5,446261.0
5,440000.0
5,438780.0
5,437154.0
5,430000.0
5,426000.0
5,424870.0
5,423000.0
5,415298.0
5,412500.0
5,410000.0
5,403000.0
5,402861.0
7,402000.0
5,395192.0
5,395000.0
5,394617.0
2,394432.0
5,392500.0
6,392000.0
5,386250.0
5,385000.0
5,385000.0
5,383970.0
9,381000.0
5,380000.0
5,378500.0
5,377500.0
5,377426.0
5,375000.0
5,374000.0
5,372500.0
5,372402.0
5,370878.0
5,369900.0
5,367294.0
5,361919.0
5,360000.0
6,359100.0
5,354000.0
6,350000.0
5,350000.0
5,348000.0
5,345000.0
7,345000.0
5,342643.0
5,341000.0
5,340000.0
5,340000.0
5,339750.0
5,337500.0
5,337000.0
5,336000.0
5,335000.0
5,335000.0
8,335000.0
5,333168.0
5,328900.0
5,328000.0
5,326000.0
5,325624.0
5,325300.0
5,325000.0
9,325000.0
5,325000.0
5,325000.0
5,324000.0
5,320000.0
5,320000.0
5,320000.0
5,320000.0
5,319900.0
5,319000.0
5,318061.0
5,318000.0
5,318000.0
5,317000.0
8,316600.0
5,315750.0
5,315500.0
8,315000.0
5,315000.0
5,315000.0
5,315000.0
5,314813.0
5,313000.0
5,312500.0
5,311872.0
9,311500.0
7,310000.0
5,310000.0
5,309000.0
5,307000.0
5,306000.0
5,305900.0
5,305000.0
5,303477.0
5,302000.0
5,302000.0
5,301500.0
5,301000.0
9,299800.0
5,297000.0
5,295493.0
9,295000.0
7,294000.0
5,293077.0
5,290000.0
7,290000.0
5,290000.0
5,290000.0
5,290000.0
8,289000.0
5,287090.0
6,287000.0
5,287000.0
5,286000.0
5,285000.0
5,285000.0
5,285000.0
5,284000.0
5,284000.0
5,283463.0
5,282922.0
5,281213.0
5,281000.0
5,280000.0
5,280000.0
5,280000.0
5,280000.0
5,279500.0
5,278000.0
5,278000.0
5,277500.0
5,277000.0
7,277000.0
5,276000.0
5,275500.0
5,275000.0
5,275000.0
5,275000.0
5,275000.0
5,275000.0
7,274970.0
5,274900.0
5,274725.0
6,274300.0
5,274000.0
5,272000.0
7,272000.0
7,271900.0
5,271000.0
5,271000.0
5,270000.0
5,270000.0
5,270000.0
5,269790.0
5,269500.0
5,268000.0
6,268000.0
5,267000.0
9,266500.0
5,266000.0
5,266000.0
7,265979.0
5,265900.0
5,265000.0
5,264561.0
5,264132.0
5,263435.0
5,263000.0
5,262500.0
7,262500.0
5,262280.0
5,262000.0
5,261500.0
5,260400.0
5,260000.0
5,260000.0
7,260000.0
5,260000.0
6,260000.0
5,260000.0
8,259500.0
5,259000.0
5,258000.0
7,257500.0
5,257000.0
5,256300.0
6,256000.0
7,256000.0
5,255900.0
5,255500.0
5,255000.0
5,255000.0
5,254900.0
5,254000.0
5,253293.0
5,253000.0
5,252678.0
5,252000.0
5,251000.0
5,250580.0
5,250000.0
5,250000.0
5,250000.0
7,250000.0
7,250000.0
5,250000.0
5,250000.0
5,250000.0
5,249700.0
5,248900.0
6,248328.0
5,248000.0
6,248000.0
5,246578.0
5,245500.0
5,245350.0
5,245000.0
5,244600.0
7,244400.0
6,244000.0
5,244000.0
5,244000.0
7,243000.0
7,242000.0
7,242000.0
5,241500.0
7,241500.0
5,241000.0
5,240000.0
7,240000.0
8,240000.0
5,240000.0
5,240000.0
5,240000.0
5,239900.0
5,239799.0
5,239686.0
5,239500.0
7,239000.0
5,239000.0
6,239000.0
5,239000.0
8,239000.0
5,239000.0
5,238000.0
7,237500.0
6,237000.0
5,237000.0
5,236500.0
5,236500.0
5,236000.0
5,236000.0
5,235128.0
7,235000.0
4,235000.0
5,235000.0
7,235000.0
7,235000.0
5,235000.0
5,235000.0
9,234000.0
5,234000.0
5,233230.0
5,233170.0
5,233000.0
5,232600.0
5,232000.0
5,232000.0
5,232000.0
5,231500.0
5,231500.0
5,230500.0
5,230000.0
5,230000.0
5,230000.0
5,230000.0
7,230000.0
5,230000.0
7,230000.0
5,230000.0
5,229456.0
5,229000.0
6,228950.0
6,228500.0
5,228500.0
6,228000.0
5,228000.0
6,227875.0
5,227680.0
6,227000.0
5,227000.0
5,227000.0
5,226700.0
5,226000.0
6,226000.0
5,226000.0
4,225000.0
5,225000.0
8,225000.0
5,225000.0
5,225000.0
5,225000.0
5,224900.0
5,224900.0
5,224500.0
5,224000.0
7,224000.0
5,223500.0
6,223500.0
5,223000.0
5,222500.0
5,222500.0
5,222000.0
9,222000.0
5,222000.0
5,221500.0
5,221000.0
5,221000.0
5,220000.0
5,220000.0
5,220000.0
5,220000.0
7,220000.0
5,219500.0
5,219500.0
6,219500.0
5,219210.0
8,218000.0
6,217500.0
5,217000.0
5,217000.0
5,216837.0
5,216500.0
5,216000.0
5,215200.0
5,215000.0
5,215000.0
7,215000.0
5,215000.0
5,215000.0
5,215000.0
5,215000.0
6,215000.0
5,214900.0
6,214500.0
5,214000.0
5,214000.0
5,214000.0
5,214000.0
5,214000.0
