OpenPorchSF,SalePrice
50,755000.0
78,745000.0
76,625000.0
67,611657.0
170,582933.0
108,556581.0
72,555000.0
36,538000.0
60,501837.0
78,485000.0
260,475000.0
140,466500.0
229,465000.0
274,451950.0
66,446261.0
63,440000.0
0,438780.0
0,437154.0
75,430000.0
134,426000.0
144,424870.0
267,423000.0
98,415298.0
0,412500.0
86,410000.0
146,403000.0
54,402861.0
76,402000.0
95,395192.0
45,395000.0
66,394617.0
0,394432.0
53,392500.0
0,392000.0
105,386250.0
72,385000.0
45,385000.0
184,383970.0
12,381000.0
84,380000.0
76,378500.0
39,377500.0
51,377426.0
0,375000.0
49,374000.0
82,372500.0
102,372402.0
130,370878.0
66,369900.0
72,367294.0
100,361919.0
175,360000.0
0,359100.0
154,354000.0
46,350000.0
0,350000.0
70,348000.0
21,345000.0
111,345000.0
154,342643.0
154,341000.0
214,340000.0
126,340000.0
102,339750.0
48,337500.0
128,337000.0
0,336000.0
27,335000.0
102,335000.0
207,335000.0
30,333168.0
65,328900.0
44,328000.0
112,326000.0
120,325624.0
154,325300.0
39,325000.0
502,325000.0
32,325000.0
102,325000.0
30,324000.0
0,320000.0
132,320000.0
64,320000.0
191,320000.0
82,319900.0
75,319000.0
54,318061.0
228,318000.0
0,318000.0
151,317000.0
40,316600.0
60,315750.0
0,315500.0
74,315000.0
66,315000.0
68,315000.0
45,315000.0
108,314813.0
142,313000.0
78,312500.0
138,311872.0
119,311500.0
55,310000.0
52,310000.0
32,309000.0
57,307000.0
50,306000.0
0,305900.0
0,305000.0
364,303477.0
48,302000.0
0,302000.0
36,301500.0
96,301000.0
204,299800.0
44,297000.0
42,295493.0
0,295000.0
47,294000.0
44,293077.0
114,290000.0
57,290000.0
98,290000.0
50,290000.0
78,290000.0
54,289000.0
36,287090.0
72,287000.0
45,287000.0
120,286000.0
45,285000.0
100,285000.0
33,285000.0
0,284000.0
62,284000.0
0,283463.0
160,282922.0
39,281213.0
74,281000.0
75,280000.0
62,280000.0
54,280000.0
185,280000.0
33,279500.0
120,278000.0
59,278000.0
47,277500.0
55,277000.0
98,277000.0
148,276000.0
52,275500.0
0,275000.0
60,275000.0
28,275000.0
150,275000.0
53,275000.0
236,274970.0
26,274900.0
100,274725.0
170,274300.0
140,274000.0
0,272000.0
282,272000.0
70,271900.0
59,271000.0
132,271000.0
46,270000.0
30,270000.0
252,270000.0
130,269790.0
75,269500.0
40,268000.0
207,268000.0
50,267000.0
60,266500.0
51,266000.0
72,266000.0
0,265979.0
33,265900.0
0,265000.0
0,264561.0
174,264132.0
150,263435.0
182,263000.0
168,262500.0
80,262500.0
121,262280.0
114,262000.0
122,261500.0
56,260400.0
82,260000.0
24,260000.0
195,260000.0
60,260000.0
0,260000.0
36,260000.0
0,259500.0
36,259000.0
123,258000.0
87,257500.0
44,257000.0
56,256300.0
137,256000.0
547,256000.0
0,255900.0
39,255500.0
60,255000.0
60,255000.0
136,254900.0
38,254000.0
90,253293.0
48,253000.0
108,252678.0
50,252000.0
48,251000.0
140,250580.0
84,250000.0
45,250000.0
44,250000.0
65,250000.0
0,250000.0
0,250000.0
210,250000.0
112,250000.0
146,249700.0
80,248900.0
56,248328.0
56,248000.0
98,248000.0
20,246578.0
30,245500.0
33,245350.0
99,245000.0
150,244600.0
0,244400.0
0,244000.0
48,244000.0
0,244000.0
29,243000.0
0,242000.0
0,242000.0
39,241500.0
0,241500.0
168,241000.0
231,240000.0
243,240000.0
40,240000.0
60,240000.0
48,240000.0
65,240000.0
116,239900.0
90,239799.0
43,239686.0
155,239500.0
35,239000.0
10,239000.0
0,239000.0
136,239000.0
0,239000.0
36,239000.0
192,238000.0
42,237500.0
39,237000.0
211,237000.0
152,236500.0
151,236500.0
54,236000.0
90,236000.0
24,235128.0
0,235000.0
16,235000.0
0,235000.0
250,235000.0
0,235000.0
184,235000.0
36,235000.0
0,234000.0
20,234000.0
51,233230.0
114,233170.0
45,233000.0
140,232600.0
104,232000.0
59,232000.0
262,232000.0
99,231500.0
96,231500.0
124,230500.0
159,230000.0
106,230000.0
0,230000.0
136,230000.0
0,230000.0
62,230000.0
0,230000.0
45,230000.0
112,229456.0
0,229000.0
0,228950.0
84,228500.0
87,228500.0
64,228000.0
187,228000.0
105,227875.0
60,227680.0
45,227000.0
72,227000.0
45,227000.0
108,226700.0
29,226000.0
66,226000.0
235,226000.0
21,225000.0
44,225000.0
0,225000.0
130,225000.0
48,225000.0
0,225000.0
34,224900.0
63,224900.0
114,224500.0
35,224000.0
0,224000.0
42,223500.0
312,223500.0
73,223000.0
48,222500.0
84,222500.0
144,222000.0
44,222000.0
0,222000.0
59,221500.0
36,221000.0
81,221000.0
25,220000.0
70,220000.0
110,220000.0
150,220000.0
0,220000.0
36,219500.0
48,219500.0
0,219500.0
17,219210.0
21,218000.0
