MoSold,SalePrice
1,755000.0
7,745000.0
7,625000.0
3,611657.0
1,582933.0
7,556581.0
4,555000.0
6,538000.0
7,501837.0
7,485000.0
6,475000.0
3,466500.0
9,465000.0
6,451950.0
11,446261.0
7,440000.0
10,438780.0
4,437154.0
5,430000.0
8,426000.0
4,424870.0
1,423000.0
5,415298.0
3,412500.0
3,410000.0
7,403000.0
9,402861.0
7,402000.0
4,395192.0
7,395000.0
11,394617.0
6,394432.0
11,392500.0
10,392000.0
6,386250.0
11,385000.0
6,385000.0
10,383970.0
5,381000.0
3,380000.0
5,378500.0
10,377500.0
7,377426.0
6,375000.0
8,374000.0
7,372500.0
1,372402.0
10,370878.0
3,369900.0
10,367294.0
7,361919.0
11,360000.0
9,359100.0
6,354000.0
8,350000.0
6,350000.0
6,348000.0
7,345000.0
7,345000.0
9,342643.0
8,341000.0
12,340000.0
5,340000.0
4,339750.0
7,337500.0
7,337000.0
7,336000.0
4,335000.0
7,335000.0
5,335000.0
5,333168.0
1,328900.0
4,328000.0
3,326000.0
11,325624.0
11,325300.0
6,325000.0
7,325000.0
4,325000.0
11,325000.0
5,324000.0
5,320000.0
3,320000.0
2,320000.0
3,320000.0
2,319900.0
8,319000.0
12,318061.0
12,318000.0
11,318000.0
10,317000.0
9,316600.0
8,315750.0
9,315500.0
12,315000.0
6,315000.0
3,315000.0
9,315000.0
7,314813.0
5,313000.0
5,312500.0
9,311872.0
5,311500.0
11,310000.0
4,310000.0
9,309000.0
8,307000.0
5,306000.0
7,305900.0
8,305000.0
8,303477.0
6,302000.0
6,302000.0
8,301500.0
8,301000.0
7,299800.0
9,297000.0
1,295493.0
5,295000.0
7,294000.0
4,293077.0
6,290000.0
4,290000.0
11,290000.0
5,290000.0
12,290000.0
3,289000.0
5,287090.0
5,287000.0
9,287000.0
8,286000.0
7,285000.0
5,285000.0
4,285000.0
10,284000.0
8,284000.0
5,283463.0
8,282922.0
2,281213.0
10,281000.0
6,280000.0
8,280000.0
12,280000.0
3,280000.0
8,279500.0
7,278000.0
10,278000.0
8,277500.0
4,277000.0
6,277000.0
11,276000.0
3,275500.0
8,275000.0
6,275000.0
12,275000.0
8,275000.0
1,275000.0
8,274970.0
1,274900.0
9,274725.0
6,274300.0
4,274000.0
5,272000.0
7,272000.0
6,271900.0
7,271000.0
8,271000.0
12,270000.0
4,270000.0
11,270000.0
6,269790.0
5,269500.0
7,268000.0
10,268000.0
5,267000.0
5,266500.0
8,266000.0
7,266000.0
5,265979.0
12,265900.0
7,265000.0
10,264561.0
8,264132.0
12,263435.0
11,263000.0
4,262500.0
6,262500.0
5,262280.0
7,262000.0
11,261500.0
3,260400.0
4,260000.0
1,260000.0
8,260000.0
4,260000.0
4,260000.0
6,260000.0
7,259500.0
11,259000.0
7,258000.0
6,257500.0
9,257000.0
7,256300.0
3,256000.0
6,256000.0
5,255900.0
7,255500.0
6,255000.0
11,255000.0
5,254900.0
12,254000.0
8,253293.0
2,253000.0
7,252678.0
5,252000.0
8,251000.0
5,250580.0
12,250000.0
8,250000.0
5,250000.0
8,250000.0
6,250000.0
4,250000.0
7,250000.0
7,250000.0
7,249700.0
11,248900.0
6,248328.0
6,248000.0
1,248000.0
10,246578.0
12,245500.0
2,245350.0
10,245000.0
12,244600.0
6,244400.0
2,244000.0
7,244000.0
4,244000.0
6,243000.0
6,242000.0
11,242000.0
6,241500.0
4,241500.0
10,241000.0
6,240000.0
6,240000.0
9,240000.0
8,240000.0
4,240000.0
12,240000.0
6,239900.0
8,239799.0
8,239686.0
6,239500.0
6,239000.0
6,239000.0
11,239000.0
5,239000.0
7,239000.0
12,239000.0
11,238000.0
5,237500.0
1,237000.0
3,237000.0
3,236500.0
6,236500.0
4,236000.0
6,236000.0
6,235128.0
3,235000.0
3,235000.0
12,235000.0
3,235000.0
7,235000.0
6,235000.0
9,235000.0
6,234000.0
10,234000.0
7,233230.0
9,233170.0
1,233000.0
6,232600.0
7,232000.0
4,232000.0
5,232000.0
8,231500.0
5,231500.0
11,230500.0
9,230000.0
12,230000.0
2,230000.0
2,230000.0
7,230000.0
7,230000.0
6,230000.0
6,230000.0
9,229456.0
2,229000.0
8,228950.0
1,228500.0
8,228500.0
1,228000.0
12,228000.0
8,227875.0
7,227680.0
