Foundation,SalePrice
PConc,755000.0
PConc,745000.0
PConc,625000.0
PConc,611657.0
PConc,582933.0
PConc,556581.0
PConc,555000.0
PConc,538000.0
PConc,501837.0
PConc,485000.0
BrkTil,475000.0
PConc,466500.0
PConc,465000.0
PConc,451950.0
PConc,446261.0
PConc,440000.0
PConc,438780.0
PConc,437154.0
PConc,430000.0
PConc,426000.0
PConc,424870.0
PConc,423000.0
PConc,415298.0
PConc,412500.0
PConc,410000.0
PConc,403000.0
CBlock,402861.0
PConc,402000.0
PConc,395192.0
PConc,395000.0
PConc,394617.0
PConc,394432.0
PConc,392500.0
PConc,392000.0
PConc,386250.0
CBlock,385000.0
PConc,385000.0
PConc,383970.0
CBlock,381000.0
PConc,380000.0
PConc,378500.0
PConc,377500.0
PConc,377426.0
CBlock,375000.0
PConc,374000.0
PConc,372500.0
PConc,372402.0
PConc,370878.0
PConc,369900.0
PConc,367294.0
PConc,361919.0
PConc,360000.0
PConc,359100.0
PConc,354000.0
PConc,350000.0
PConc,350000.0
PConc,348000.0
PConc,345000.0
CBlock,345000.0
PConc,342643.0
PConc,341000.0
PConc,340000.0
PConc,340000.0
PConc,339750.0
PConc,337500.0
PConc,337000.0
PConc,336000.0
PConc,335000.0
PConc,335000.0
PConc,335000.0
PConc,333168.0
PConc,328900.0
PConc,328000.0
PConc,326000.0
PConc,325624.0
PConc,325300.0
PConc,325000.0
BrkTil,325000.0
PConc,325000.0
PConc,325000.0
PConc,324000.0
PConc,320000.0
PConc,320000.0
PConc,320000.0
PConc,320000.0
PConc,319900.0
PConc,319000.0
PConc,318061.0
PConc,318000.0
PConc,318000.0
PConc,317000.0
CBlock,316600.0
PConc,315750.0
PConc,315500.0
CBlock,315000.0
PConc,315000.0
PConc,315000.0
PConc,315000.0
PConc,314813.0
PConc,313000.0
PConc,312500.0
PConc,311872.0
CBlock,311500.0
PConc,310000.0
PConc,310000.0
PConc,309000.0
PConc,307000.0
PConc,306000.0
PConc,305900.0
PConc,305000.0
PConc,303477.0
CBlock,302000.0
PConc,302000.0
PConc,301500.0
CBlock,301000.0
CBlock,299800.0
PConc,297000.0
PConc,295493.0
BrkTil,295000.0
CBlock,294000.0
PConc,293077.0
PConc,290000.0
PConc,290000.0
PConc,290000.0
PConc,290000.0
PConc,290000.0
CBlock,289000.0
PConc,287090.0
CBlock,287000.0
PConc,287000.0
PConc,286000.0
PConc,285000.0
PConc,285000.0
PConc,285000.0
PConc,284000.0
PConc,284000.0
PConc,283463.0
PConc,282922.0
PConc,281213.0
PConc,281000.0
PConc,280000.0
PConc,280000.0
CBlock,280000.0
PConc,280000.0
PConc,279500.0
PConc,278000.0
PConc,278000.0
PConc,277500.0
CBlock,277000.0
CBlock,277000.0
PConc,276000.0
PConc,275500.0
PConc,275000.0
PConc,275000.0
PConc,275000.0
PConc,275000.0
PConc,275000.0
CBlock,274970.0
PConc,274900.0
PConc,274725.0
PConc,274300.0
PConc,274000.0
PConc,272000.0
CBlock,272000.0
CBlock,271900.0
PConc,271000.0
PConc,271000.0
PConc,270000.0
PConc,270000.0
PConc,270000.0
PConc,269790.0
PConc,269500.0
PConc,268000.0
PConc,268000.0
PConc,267000.0
Stone,266500.0
PConc,266000.0
PConc,266000.0
Stone,265979.0
PConc,265900.0
PConc,265000.0
PConc,264561.0
PConc,264132.0
PConc,263435.0
PConc,263000.0
PConc,262500.0
CBlock,262500.0
PConc,262280.0
PConc,262000.0
PConc,261500.0
PConc,260400.0
CBlock,260000.0
PConc,260000.0
CBlock,260000.0
PConc,260000.0
PConc,260000.0
PConc,260000.0
CBlock,259500.0
PConc,259000.0
PConc,258000.0
PConc,257500.0
PConc,257000.0
PConc,256300.0
CBlock,256000.0
BrkTil,256000.0
PConc,255900.0
PConc,255500.0
PConc,255000.0
PConc,255000.0
PConc,254900.0
PConc,254000.0
PConc,253293.0
PConc,253000.0
PConc,252678.0
PConc,252000.0
PConc,251000.0
PConc,250580.0
PConc,250000.0
PConc,250000.0
PConc,250000.0
CBlock,250000.0
CBlock,250000.0
Wood,250000.0
PConc,250000.0
